"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99946451
1 "Lying" -0.99987028
1 "Lying" -0.9999197
1 "Lying" -0.99998195
1 "Lying" -0.99999757
1 "Lying" -0.99999939
1 "Lying" -0.99999989
1 "Lying" -0.99999993
1 "Lying" -0.99999832
1 "Lying" -0.99999931
1 "Lying" -0.99999848
1 "Lying" -0.99999952
1 "Lying" -0.99999959
1 "Lying" -0.99902303
1 "Lying" -0.99919365
1 "Lying" -0.99494119
1 "Lying" -0.99975721
1 "Lying" -0.98604667
1 "Lying" -0.43163238
1 "Lying" -0.95986149
1 "Lying" -0.44405636
1 "Lying" -0.93466356
1 "Lying" -0.99974442
1 "Lying" -0.99846744
1 "Lying" -0.99920873
1 "Lying" -0.99980701
1 "Lying" -0.99999496
1 "Lying" -0.99996843
1 "Lying" -0.99929616
1 "Lying" -0.99973809
1 "Lying" -0.99995613
1 "Lying" -0.99999996
1 "Lying" -0.99999981
1 "Lying" -0.9999937
1 "Lying" -0.99999798
1 "Lying" -0.99999905
1 "Lying" -0.99999998
1 "Lying" -0.99999628
1 "Lying" -0.99999975
1 "Lying" -0.9900027
1 "Lying" -0.94201207
1 "Lying" -0.97063057
1 "Lying" -0.99975746
1 "Lying" -0.98495594
1 "Lying" -0.99806203
1 "Lying" -0.99998321
1 "Lying" -0.99999531
1 "Lying" -0.99996892
1 "Lying" -0.99895226
1 "Lying" -0.9994078
1 "Sitting" -0.99998465
1 "Sitting" -0.99978237
1 "Sitting" -0.99986215
1 "Sitting" -0.99989291
1 "Sitting" -0.99991748
1 "Sitting" -0.99998469
1 "Sitting" -0.99999999
1 "Sitting" -0.9999739
1 "Sitting" -0.99999374
1 "Sitting" -0.99999935
1 "Sitting" -0.99999826
1 "Sitting" -0.99997633
1 "Sitting" -0.99999814
1 "Sitting" -0.99999006
1 "Sitting" -0.99967349
1 "Sitting" -0.99999744
1 "Sitting" -0.99997501
1 "Sitting" -0.99991679
1 "Sitting" -0.9999458
1 "Sitting" -0.99999778
1 "Sitting" -0.99999513
1 "Sitting" -0.99999881
1 "Sitting" -0.99999995
1 "Sitting" -0.99999982
1 "Sitting" -0.99999759
1 "Sitting" -0.99998928
1 "Sitting" -0.99998227
1 "Sitting" -0.99960251
1 "Sitting" -0.99999834
1 "Sitting" -0.99959352
1 "Sitting" -0.99961402
1 "Sitting" -0.99999841
1 "Sitting" -0.99945232
1 "Sitting" -0.99999939
1 "Sitting" -0.9999988
1 "Sitting" -0.99998545
1 "Sitting" -0.99999974
1 "Sitting" -0.99998125
1 "Sitting" -0.99993603
1 "Sitting" -0.99985975
1 "Sitting" -0.99968805
1 "Sitting" -0.99971138
1 "Sitting" -0.99991574
1 "Sitting" -0.99996367
1 "Sitting" -0.99999221
1 "Sitting" -0.99999389
1 "Sitting" -0.99999703
1 "Sitting" -0.99999682
1 "Sitting" -0.99999984
1 "Sitting" -0.99999812
1 "Sitting" -0.99999817
1 "Sitting" -0.99999158
1 "Sitting" -0.99990926
1 "Standing" -0.99956038
1 "Standing" -0.99997057
1 "Standing" -0.99998715
1 "Standing" -0.98751278
1 "Standing" -0.99996715
1 "Standing" -0.98696375
1 "Standing" -0.99994735
1 "Standing" -0.99999354
1 "Standing" -0.99999506
1 "Standing" -0.99999193
1 "Standing" -0.99999816
1 "Standing" -0.99955488
1 "Standing" -0.9979891
1 "Standing" -0.99909655
1 "Standing" -0.99979558
1 "Standing" -0.9999783
1 "Standing" -0.99999938
1 "Standing" -0.99999895
1 "Standing" -0.99999357
1 "Standing" -0.9999922
1 "Standing" -0.99999283
1 "Standing" -0.99999146
1 "Standing" -0.9999951
1 "Standing" -0.99997036
1 "Standing" -0.99981418
1 "Standing" -0.99996517
1 "Standing" -0.99993411
1 "Standing" -0.99998936
1 "Standing" -0.99999994
1 "Standing" -0.99999979
1 "Standing" -0.99999926
1 "Standing" -0.99999998
1 "Standing" -0.99999903
1 "Standing" -0.99999999
1 "Standing" -0.99999998
1 "Standing" -0.99331359
1 "Standing" -0.99838931
1 "Standing" -0.999218
1 "Standing" -0.99969405
1 "Standing" -0.99996459
1 "Standing" -0.99999345
1 "Standing" -0.99999774
1 "Standing" -0.99999681
1 "Standing" -0.99999997
1 "Standing" -0.99999987
1 "Standing" -0.99999928
1 "Standing" -0.99972933
1 "Walking" -0.96800806
1 "Walking" -0.80360459
1 "Walking" -0.99988442
1 "Walking" -0.99674297
1 "Walking" -0.99972433
1 "Walking" -0.88016604
1 "Walking" -0.9735195
1 "Walking" -0.94487279
1 "Walking" -0.95995967
1 "Walking" -0.8645726
1 "Walking" -0.97965384
1 "Walking" -0.99043347
1 "Walking" -0.99338562
1 "Walking" -0.99621929
1 "Walking" -0.9994924
1 "Walking" -0.9988466
1 "Walking" -0.98785401
1 "Walking" -0.97776629
1 "Walking" -0.98545339
