"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.94734473
1 "Lying" -0.96094399
1 "Lying" -0.98079282
1 "Lying" -0.99382458
1 "Lying" -0.99645141
1 "Lying" -0.99642636
1 "Lying" -0.99587616
1 "Lying" -0.99567477
1 "Lying" -0.99560186
1 "Lying" -0.99381182
1 "Lying" -0.99683461
1 "Lying" -0.99515579
1 "Lying" -0.99520285
1 "Lying" -0.92604977
1 "Lying" -0.95842944
1 "Lying" -0.68972611
1 "Lying" -0.70907406
1 "Lying" -0.92107346
1 "Lying" -0.81169215
1 "Lying" -0.56141799
1 "Lying" -0.75425185
1 "Lying" -0.95031372
1 "Lying" -0.99047261
1 "Lying" -0.98630551
1 "Lying" -0.99366925
1 "Lying" -0.99729079
1 "Lying" -0.99499386
1 "Lying" -0.94111269
1 "Lying" -0.9547454
1 "Lying" -0.98390283
1 "Lying" -0.9918247
1 "Lying" -0.99650064
1 "Lying" -0.99420851
1 "Lying" -0.99255462
1 "Lying" -0.99482305
1 "Lying" -0.99468938
1 "Lying" -0.99279574
1 "Lying" -0.99755813
1 "Lying" -0.99644722
1 "Lying" -0.55347061
1 "Lying" -0.69753454
1 "Lying" -0.89232746
1 "Lying" -0.93854094
1 "Lying" -0.97217885
1 "Lying" -0.96356016
1 "Lying" -0.9751989
1 "Lying" -0.98633756
1 "Lying" -0.97485712
1 "Lying" -0.97495101
1 "Lying" -0.97339094
1 "Sitting" -0.99441158
1 "Sitting" -0.98725448
1 "Sitting" -0.99255065
1 "Sitting" -0.9902236
1 "Sitting" -0.99742634
1 "Sitting" -0.99044522
1 "Sitting" -0.98709576
1 "Sitting" -0.99275994
1 "Sitting" -0.99068486
1 "Sitting" -0.97759542
1 "Sitting" -0.97708368
1 "Sitting" -0.99560699
1 "Sitting" -0.99502855
1 "Sitting" -0.99642531
1 "Sitting" -0.97154793
1 "Sitting" -0.98615094
1 "Sitting" -0.99157447
1 "Sitting" -0.98993936
1 "Sitting" -0.99222051
1 "Sitting" -0.99392494
1 "Sitting" -0.99570732
1 "Sitting" -0.99582318
1 "Sitting" -0.995239
1 "Sitting" -0.9954867
1 "Sitting" -0.99405652
1 "Sitting" -0.99599812
1 "Sitting" -0.99376303
1 "Sitting" -0.96735291
1 "Sitting" -0.9805775
1 "Sitting" -0.98784071
1 "Sitting" -0.97003513
1 "Sitting" -0.95471696
1 "Sitting" -0.98558819
1 "Sitting" -0.9922906
1 "Sitting" -0.99667925
1 "Sitting" -0.98064867
1 "Sitting" -0.98371128
1 "Sitting" -0.99573538
1 "Sitting" -0.99509423
1 "Sitting" -0.99759732
1 "Sitting" -0.99469372
1 "Sitting" -0.95428682
1 "Sitting" -0.9827795
1 "Sitting" -0.98916899
1 "Sitting" -0.99553109
1 "Sitting" -0.99583051
1 "Sitting" -0.99223772
1 "Sitting" -0.99556505
1 "Sitting" -0.99349986
1 "Sitting" -0.99634905
1 "Sitting" -0.99202145
1 "Sitting" -0.99133565
1 "Sitting" -0.99489495
1 "Standing" -0.93008272
1 "Standing" -0.99020134
1 "Standing" -0.99363402
1 "Standing" -0.85642557
1 "Standing" -0.83635892
1 "Standing" -0.93502403
1 "Standing" -0.99399875
1 "Standing" -0.99518979
1 "Standing" -0.99161527
1 "Standing" -0.99450364
1 "Standing" -0.99385829
1 "Standing" -0.94108438
1 "Standing" -0.93616405
1 "Standing" -0.96940706
1 "Standing" -0.9916374
1 "Standing" -0.99058033
1 "Standing" -0.99555138
1 "Standing" -0.9912794
1 "Standing" -0.99362354
1 "Standing" -0.99540747
1 "Standing" -0.99293339
1 "Standing" -0.99149046
1 "Standing" -0.9917829
1 "Standing" -0.9920672
1 "Standing" -0.98864273
1 "Standing" -0.97911733
1 "Standing" -0.98015488
1 "Standing" -0.98859306
1 "Standing" -0.99618202
1 "Standing" -0.99441488
1 "Standing" -0.99388765
1 "Standing" -0.99432006
1 "Standing" -0.99549335
1 "Standing" -0.99532677
1 "Standing" -0.99427559
1 "Standing" -0.97744047
1 "Standing" -0.93609761
1 "Standing" -0.97157348
1 "Standing" -0.98067152
1 "Standing" -0.99237369
1 "Standing" -0.99331861
1 "Standing" -0.99601647
1 "Standing" -0.99515724
1 "Standing" -0.99526035
1 "Standing" -0.99497605
1 "Standing" -0.99400231
1 "Standing" -0.97337352
1 "Walking" -0.27277609
1 "Walking" -0.33805346
1 "Walking" -0.39428896
1 "Walking" -0.25943514
1 "Walking" -0.43170716
1 "Walking" -0.54009601
1 "Walking" -0.41009736
1 "Walking" -0.26766768
1 "Walking" -0.53771481
