"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.40463722
1 "Lying" 0.076565705
1 "Lying" 0.26728245
1 "Lying" 0.1779729
1 "Lying" 0.18394115
1 "Lying" 0.19694346
1 "Lying" 0.096123925
1 "Lying" -0.068001861
1 "Lying" 0.056011555
1 "Lying" 0.18294064
1 "Lying" -0.11672538
1 "Lying" 0.098364442
1 "Lying" 0.19878901
1 "Lying" 0.11123076
1 "Lying" 0.051976607
1 "Lying" 0.067567401
1 "Lying" 0.086997313
1 "Lying" 0.10974509
1 "Lying" 0.21055529
1 "Lying" 0.25220873
1 "Lying" 0.28187013
1 "Lying" 0.26945764
1 "Lying" 0.373184
1 "Lying" 0.56343282
1 "Lying" 0.34836602
1 "Lying" 0.25991412
1 "Lying" 0.24662057
1 "Lying" -0.021177011
1 "Lying" 0.042726857
1 "Lying" 0.2582785
1 "Lying" 0.39209046
1 "Lying" 0.30912156
1 "Lying" 0.34714971
1 "Lying" 0.20730533
1 "Lying" -0.0015967737
1 "Lying" 0.19010373
1 "Lying" 0.12054329
1 "Lying" 0.19823331
1 "Lying" 0.33147004
1 "Lying" 0.019824828
1 "Lying" -0.012219871
1 "Lying" 0.024954824
1 "Lying" -0.17798888
1 "Lying" 0.076355821
1 "Lying" 0.2073484
1 "Lying" 0.17323445
1 "Lying" 0.28083345
1 "Lying" -0.086502798
1 "Lying" -0.021576289
1 "Lying" 0.06420468
1 "Sitting" 0.39160251
1 "Sitting" 0.17760636
1 "Sitting" 0.095126141
1 "Sitting" 0.06966099
1 "Sitting" -0.27151547
1 "Sitting" -0.19369246
1 "Sitting" -0.039785591
1 "Sitting" -0.13847078
1 "Sitting" 0.19897797
1 "Sitting" 0.081179027
1 "Sitting" -0.0042892968
1 "Sitting" 0.1205812
1 "Sitting" 0.3590552
1 "Sitting" 0.40214066
1 "Sitting" 0.10711002
1 "Sitting" 0.22051057
1 "Sitting" 0.079509591
1 "Sitting" -0.18245698
1 "Sitting" -0.074384453
1 "Sitting" 0.19716796
1 "Sitting" 0.41299164
1 "Sitting" 0.50656341
1 "Sitting" 0.28102358
1 "Sitting" 0.35848377
1 "Sitting" 0.37893671
1 "Sitting" 0.19868226
1 "Sitting" 0.31560283
1 "Sitting" 0.480052
1 "Sitting" 0.044087326
1 "Sitting" 0.081492823
1 "Sitting" -0.11578491
1 "Sitting" -0.076670556
1 "Sitting" 0.21641113
1 "Sitting" 0.19067925
1 "Sitting" 0.24715973
1 "Sitting" 0.3051011
1 "Sitting" 0.34135704
1 "Sitting" 0.3270392
1 "Sitting" 0.21776753
1 "Sitting" 0.080686729
1 "Sitting" -0.093316674
1 "Sitting" -0.12985332
1 "Sitting" 0.10057368
1 "Sitting" 0.17398732
1 "Sitting" 0.099459432
1 "Sitting" 0.1504088
1 "Sitting" 0.2256337
1 "Sitting" 0.21760139
1 "Sitting" 0.39797538
1 "Sitting" 0.29979952
1 "Sitting" 0.1421401
1 "Sitting" 0.061557904
1 "Sitting" 0.087914831
1 "Standing" 0.32380144
1 "Standing" 0.057990577
1 "Standing" 0.39136716
1 "Standing" -0.026293185
1 "Standing" 0.063329796
1 "Standing" 0.41499225
1 "Standing" 0.29108735
1 "Standing" 0.46326863
1 "Standing" 0.26063863
1 "Standing" 0.19377855
1 "Standing" 0.084300939
1 "Standing" 0.18958167
1 "Standing" 0.092069939
1 "Standing" 0.16788894
1 "Standing" 0.43605692
1 "Standing" 0.42273452
1 "Standing" 0.1978723
1 "Standing" 0.22053577
1 "Standing" 0.36516904
1 "Standing" 0.1608926
1 "Standing" 0.029196754
1 "Standing" 0.24638893
1 "Standing" 0.10177883
1 "Standing" -0.11569777
1 "Standing" 0.17078553
1 "Standing" 0.52735288
1 "Standing" 0.48913812
1 "Standing" 0.20218273
1 "Standing" 0.32651538
1 "Standing" 0.25444597
1 "Standing" 0.34893166
1 "Standing" 0.352051
1 "Standing" 0.26764592
1 "Standing" 0.32943421
1 "Standing" 0.24380961
1 "Standing" 0.033041428
1 "Standing" 0.050778403
1 "Standing" 0.28030616
1 "Standing" 0.28189458
1 "Standing" 0.16070649
1 "Standing" 0.19674232
1 "Standing" 0.31381635
1 "Standing" 0.24195047
1 "Standing" 0.1572942
1 "Standing" 0.26322593
1 "Standing" 0.23349985
1 "Standing" -0.13949956
1 "Walking" -0.19943444
1 "Walking" -0.087843147
1 "Walking" 0.012004562
1 "Walking" 0.21892556
1 "Walking" 0.17461396
1 "Walking" 0.032553114
1 "Walking" -0.040687989
1 "Walking" 0.19042043
1 "Walking" -0.1724978
1 "Walking" -0.22872276
1 "Walking" 0.16361033
1 "Walking" 0.12534451
1 "Walking" -0.26499376
1 "Walking" -0.18024645
1 "Walking" -0.31799194
1 "Walking" -0.17983538
1 "Walking" 0.013929062
1 "Walking" -0.17642905
1 "Walking" -0.19976248
1 "Walking" 0.096030357
1 "Walking" 0.20515502
1 "Walking" 0.06668828
1 "Walking" -0.18137704
1 "Walking" 0.011469359
1 "Walking" -0.039158511
1 "Walking" 0.021357499
1 "Walking" 0.12973184
1 "Walking" -0.0008214068
1 "Walking" 0.055929497
1 "Walking" 0.14210144
1 "Walking" -0.076831639
1 "Walking" -0.19125201
1 "Walking" 0.015687328
1 "Walking" 0.11648953
1 "Walking" -0.07026778
1 "Walking" 0.12253307
1 "Walking" 0.086384381
1 "Walking" 0.10715161
1 "Walking" 0.043130574
1 "Walking" -0.12550736
1 "Walking" 0.016983543
1 "Walking" 0.12399685
1 "Walking" 0.071691037
1 "Walking" -0.13350566
1 "Walking" -0.031685362
1 "Walking" 0.099743491
1 "Walking" 0.06121234
1 "Walking" -0.07706231
1 "Walking" -0.045854421
1 "Walking" 0.0039748964
1 "Walking" -0.073176223
1 "Walking" -0.044324174
1 "Walking" 0.11789322
1 "Walking" 0.19177312
1 "Walking" 0.23917131
1 "Walking" 0.24509
1 "Walking" 0.16675154
1 "Walking" 0.045018492
1 "Walking" 0.13720907
1 "Walking" 0.25807339
1 "Walking" 0.22513088
1 "Walking" 0.06315633
1 "Walking" 0.2317592
1 "Walking" 0.26942168
1 "Walking" 0.25991873
1 "Walking" 0.23549925
1 "Walking" 0.076372632
1 "Walking" 0.031217958
1 "Walking" 0.12805197
1 "Walking" 0.058773058
1 "Walking" 0.26605977
1 "Walking" 0.23248713
1 "Walking" 0.057635291
1 "Walking" 0.14044692
1 "Walking" 0.16589452
1 "Walking" 0.30614829
1 "Walking" 0.32782261
1 "Walking" 0.011970453
1 "Walking" 0.064594178
1 "Walking" 0.084477532
1 "Walking" 0.060152702
1 "Walking" 0.12867359
1 "Walking" 0.13414442
1 "Walking" 0.066128479
1 "Walking" 0.085003336
1 "Walking" 0.20210035
1 "Walking" 0.22279879
1 "Walking" 0.23831551
1 "Walking" 0.28401557
1 "Walking" 0.16234846
1 "Walking" -0.009156479
1 "Walking" 0.076247614
1 "Walking" 0.22946515
1 "Walking" 0.3215033
1 "Walking" 0.3420475
1 "Walking Down Stairs" 0.18483382
1 "Walking Down Stairs" -0.073467749
1 "Walking Down Stairs" 0.19169866
1 "Walking Down Stairs" 0.33657244
1 "Walking Down Stairs" 0.058659214
1 "Walking Down Stairs" 0.1477138
1 "Walking Down Stairs" 0.32799647
1 "Walking Down Stairs" 0.3575303
1 "Walking Down Stairs" 0.37498158
1 "Walking Down Stairs" 0.14083635
1 "Walking Down Stairs" 0.086785894
1 "Walking Down Stairs" 0.19286374
1 "Walking Down Stairs" 0.11007302
1 "Walking Down Stairs" 0.11174663
1 "Walking Down Stairs" 0.35422286
1 "Walking Down Stairs" 0.29714617
1 "Walking Down Stairs" 0.093749009
1 "Walking Down Stairs" 0.067360878
1 "Walking Down Stairs" 0.029274315
1 "Walking Down Stairs" 0.067946164
1 "Walking Down Stairs" 0.03170683
1 "Walking Down Stairs" -0.068866009
1 "Walking Down Stairs" 0.014208822
1 "Walking Down Stairs" 0.063348301
1 "Walking Down Stairs" 0.23019761
1 "Walking Down Stairs" -0.13248863
1 "Walking Down Stairs" -0.13950035
1 "Walking Down Stairs" 0.49321802
1 "Walking Down Stairs" 0.38814527
1 "Walking Down Stairs" 0.13933636
1 "Walking Down Stairs" 0.14063416
1 "Walking Down Stairs" 0.3403059
1 "Walking Down Stairs" -0.094047162
1 "Walking Down Stairs" 0.1181601
1 "Walking Down Stairs" 0.13072545
1 "Walking Down Stairs" 0.007883112
1 "Walking Down Stairs" 0.026342563
1 "Walking Down Stairs" 0.22877109
1 "Walking Down Stairs" 0.11596382
1 "Walking Down Stairs" 0.17464955
1 "Walking Down Stairs" 0.32329063
1 "Walking Down Stairs" 0.27867282
1 "Walking Down Stairs" 0.41044511
1 "Walking Down Stairs" 0.36921173
1 "Walking Down Stairs" 0.071900024
1 "Walking Down Stairs" 0.42018015
1 "Walking Down Stairs" 0.41714206
1 "Walking Down Stairs" -0.3015827
1 "Walking Down Stairs" -0.049924799
1 "Walking Up Stairs" 0.34070313
1 "Walking Up Stairs" 0.42906421
1 "Walking Up Stairs" 0.13171805
1 "Walking Up Stairs" -0.076695117
1 "Walking Up Stairs" 0.22237293
1 "Walking Up Stairs" 0.10806267
1 "Walking Up Stairs" 0.22687887
1 "Walking Up Stairs" 0.41829372
1 "Walking Up Stairs" 0.35303205
1 "Walking Up Stairs" 0.30338983
1 "Walking Up Stairs" 0.022979381
1 "Walking Up Stairs" 0.024351193
1 "Walking Up Stairs" 0.13433011
1 "Walking Up Stairs" -0.031635179
1 "Walking Up Stairs" -0.089240282
1 "Walking Up Stairs" 0.024087636
1 "Walking Up Stairs" 0.03866763
1 "Walking Up Stairs" -0.13417889
1 "Walking Up Stairs" -0.22138494
1 "Walking Up Stairs" -0.38282002
1 "Walking Up Stairs" -0.20824385
1 "Walking Up Stairs" 0.096105909
1 "Walking Up Stairs" 0.14545757
1 "Walking Up Stairs" -0.0048951848
1 "Walking Up Stairs" 0.10040998
1 "Walking Up Stairs" 0.22745406
1 "Walking Up Stairs" 0.10164222
1 "Walking Up Stairs" 0.11978093
1 "Walking Up Stairs" 0.14102808
1 "Walking Up Stairs" 0.34428144
1 "Walking Up Stairs" 0.34979668
1 "Walking Up Stairs" 0.13945307
1 "Walking Up Stairs" 0.17875209
1 "Walking Up Stairs" 0.19326907
1 "Walking Up Stairs" 0.2256138
1 "Walking Up Stairs" 0.17744584
1 "Walking Up Stairs" 0.12596064
1 "Walking Up Stairs" 0.12064665
1 "Walking Up Stairs" 0.24015384
1 "Walking Up Stairs" 0.2292624
1 "Walking Up Stairs" 0.22112185
1 "Walking Up Stairs" 0.24661589
1 "Walking Up Stairs" 0.21874069
1 "Walking Up Stairs" 0.28046104
1 "Walking Up Stairs" 0.064185108
1 "Walking Up Stairs" 0.077711747
1 "Walking Up Stairs" 0.16876331
1 "Walking Up Stairs" 0.25091139
1 "Walking Up Stairs" 0.30003656
1 "Walking Up Stairs" 0.14495157
1 "Walking Up Stairs" 0.076987485
1 "Walking Up Stairs" 0.087688581
1 "Walking Up Stairs" 0.17004529
2 "Lying" 0.016007199
2 "Lying" 0.0027975011
2 "Lying" 0.25596872
2 "Lying" 0.30567262
2 "Lying" 0.10740991
2 "Lying" -0.14302501
2 "Lying" 0.072329738
2 "Lying" 0.10694818
2 "Lying" 0.21458982
2 "Lying" 0.31002921
2 "Lying" 0.24519843
2 "Lying" 0.6035121
2 "Lying" 0.43390957
2 "Lying" 0.16611077
2 "Lying" 0.062346048
2 "Lying" 0.16759213
2 "Lying" 0.15977617
2 "Lying" 0.047043669
2 "Lying" 0.14046008
2 "Lying" 0.19177516
2 "Lying" 0.18522579
2 "Lying" 0.14147614
2 "Lying" -0.038253616
2 "Lying" 0.051753442
2 "Lying" 0.19354959
2 "Lying" 0.34363769
2 "Lying" 0.58287682
2 "Lying" 0.69810197
2 "Lying" -0.03715034
2 "Lying" 0.11693499
2 "Lying" 0.24058512
2 "Lying" 0.39292128
2 "Lying" 0.70134934
2 "Lying" 0.33310343
2 "Lying" 0.25688748
2 "Lying" 0.08123697
2 "Lying" 0.52287629
2 "Lying" 0.066906485
2 "Lying" 0.089999228
2 "Lying" 0.069942459
2 "Lying" 0.40268353
2 "Lying" 0.44157158
2 "Lying" 0.41650319
2 "Lying" 0.22996632
2 "Lying" 0.17656762
2 "Lying" 0.17316511
2 "Lying" 0.063927677
2 "Lying" -0.17310821
2 "Sitting" 0.068951237
2 "Sitting" -0.048357479
2 "Sitting" 0.3415636
2 "Sitting" 0.29777325
2 "Sitting" -0.10653608
2 "Sitting" -0.18384291
2 "Sitting" -0.028016493
2 "Sitting" 0.24426111
