"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.0067541163
1 "Lying" 0.057660671
1 "Lying" 0.18406471
1 "Lying" 0.24342323
1 "Lying" 0.27490378
1 "Lying" 0.23493159
1 "Lying" 0.21341366
1 "Lying" 0.34377173
1 "Lying" 0.38819772
1 "Lying" 0.31572324
1 "Lying" 0.32799412
1 "Lying" 0.3652593
1 "Lying" 0.1530475
1 "Lying" 0.079868301
1 "Lying" 0.18721744
1 "Lying" 0.020310387
1 "Lying" 0.012521041
1 "Lying" 0.084992674
1 "Lying" -0.12545235
1 "Lying" -0.0052666895
1 "Lying" 0.01021766
1 "Lying" -0.10278025
1 "Lying" 0.20385803
1 "Lying" 0.37714185
1 "Lying" 0.39512607
1 "Lying" 0.34586898
1 "Lying" 0.32976364
1 "Lying" 0.30596844
1 "Lying" 0.12015973
1 "Lying" 0.29867638
1 "Lying" 0.32793249
1 "Lying" 0.4044409
1 "Lying" 0.34694422
1 "Lying" 0.064269276
1 "Lying" 0.11277705
1 "Lying" 0.29539121
1 "Lying" 0.37252082
1 "Lying" 0.39311877
1 "Lying" 0.30988257
1 "Lying" 0.30835311
1 "Lying" 0.31034428
1 "Lying" 0.21123287
1 "Lying" 0.35675264
1 "Lying" 0.20863329
1 "Lying" 0.52220593
1 "Lying" 0.62772544
1 "Lying" 0.3877208
1 "Lying" -0.14592207
1 "Lying" -0.1015346
1 "Lying" 0.059113712
1 "Sitting" 0.6916192
1 "Sitting" 0.25325103
1 "Sitting" 0.13200906
1 "Sitting" 0.087315569
1 "Sitting" -0.08571288
1 "Sitting" 0.069933579
1 "Sitting" -0.11085552
1 "Sitting" 0.0051906146
1 "Sitting" 0.23954123
1 "Sitting" -0.0081236154
1 "Sitting" -0.047250111
1 "Sitting" 0.1653253
1 "Sitting" 0.37435753
1 "Sitting" 0.34852945
1 "Sitting" -0.016545988
1 "Sitting" -0.055963724
1 "Sitting" -0.034790591
1 "Sitting" 0.17942778
1 "Sitting" 0.29654103
1 "Sitting" 0.14014538
1 "Sitting" 0.48252659
1 "Sitting" 0.55741694
1 "Sitting" 0.37826352
1 "Sitting" 0.34181756
1 "Sitting" 0.49292014
1 "Sitting" 0.59823979
1 "Sitting" 0.53006778
1 "Sitting" -0.1464522
1 "Sitting" -0.011572885
1 "Sitting" 0.14263655
1 "Sitting" -0.13435744
1 "Sitting" -0.21019431
1 "Sitting" 0.17109806
1 "Sitting" 0.5246463
1 "Sitting" 0.36768432
1 "Sitting" 0.10375741
1 "Sitting" 0.093424472
1 "Sitting" 0.23730303
1 "Sitting" 0.34288033
1 "Sitting" 0.17011647
1 "Sitting" 0.26543521
1 "Sitting" -0.36089797
1 "Sitting" -0.056950824
1 "Sitting" -0.050193764
1 "Sitting" 0.15063447
1 "Sitting" 0.41839708
1 "Sitting" 0.57154869
1 "Sitting" 0.32822024
1 "Sitting" 0.32307991
1 "Sitting" 0.38098996
1 "Sitting" 0.11534606
1 "Sitting" 0.0011857274
1 "Sitting" 0.081830435
1 "Standing" 0.16838923
1 "Standing" 0.50447761
1 "Standing" 0.22905254
1 "Standing" 0.24329672
1 "Standing" 0.16480204
1 "Standing" 0.20224047
1 "Standing" 0.082854611
1 "Standing" 0.13932968
1 "Standing" 0.20943309
1 "Standing" 0.14546921
1 "Standing" 0.27344504
1 "Standing" 0.023413983
1 "Standing" 0.27753817
1 "Standing" 0.27315585
1 "Standing" 0.37279719
1 "Standing" 0.33829707
1 "Standing" 0.18921383
1 "Standing" 0.20456106
1 "Standing" 0.24321366
1 "Standing" 0.31880643
1 "Standing" 0.16768988
1 "Standing" 0.35414263
1 "Standing" 0.22670779
1 "Standing" 0.035481656
1 "Standing" 0.087244947
1 "Standing" -0.039369325
1 "Standing" -0.05591916
1 "Standing" 0.10014653
1 "Standing" 0.23064353
1 "Standing" 0.2855054
1 "Standing" 0.25866422
1 "Standing" 0.41181873
1 "Standing" 0.42718702
1 "Standing" 0.27692574
1 "Standing" 0.42026288
1 "Standing" 0.53352583
1 "Standing" 0.12944814
1 "Standing" 0.0099523696
1 "Standing" 0.19672147
1 "Standing" 0.33832394
1 "Standing" 0.27014966
1 "Standing" 0.25741783
1 "Standing" 0.49363486
1 "Standing" 0.39482234
1 "Standing" 0.42039315
1 "Standing" 0.47177473
1 "Standing" -0.091998576
1 "Walking" -0.051348219
1 "Walking" -0.16077711
1 "Walking" -0.17361713
1 "Walking" -0.12005021
1 "Walking" -0.18194291
1 "Walking" -0.37761244
1 "Walking" -0.39397845
1 "Walking" -0.19763484
1 "Walking" -0.46065794
1 "Walking" -0.25553059
1 "Walking" -0.03768966
1 "Walking" 0.019959078
1 "Walking" -0.04136475
1 "Walking" 0.037105569
1 "Walking" -0.1219438
1 "Walking" -0.16241871
1 "Walking" -0.021906435
1 "Walking" 0.042523385
1 "Walking" 0.13898602
1 "Walking" 0.010173145
1 "Walking" -0.08935967
1 "Walking" -0.066623036
1 "Walking" -0.26749739
1 "Walking" -0.084785615
1 "Walking" -0.095980182
1 "Walking" -0.19966076
1 "Walking" 0.043655345
1 "Walking" 0.26142985
1 "Walking" -0.15653328
1 "Walking" -0.25433233
1 "Walking" 0.10131794
1 "Walking" 0.26346926
1 "Walking" -0.36344562
1 "Walking" -0.034861735
1 "Walking" 0.18055454
1 "Walking" 0.031750662
1 "Walking" 0.083519256
1 "Walking" 0.10620996
1 "Walking" -0.064463464
1 "Walking" -0.27184422
1 "Walking" 0.14989572
1 "Walking" 0.18343564
1 "Walking" 0.097968225
1 "Walking" -0.26895576
1 "Walking" -0.41957936
1 "Walking" -0.34094396
1 "Walking" -0.1597709
1 "Walking" -0.020986503
1 "Walking" -0.12774019
1 "Walking" -0.07228812
1 "Walking" -0.059853686
1 "Walking" 0.020539585
