"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.44985567
1 "Lying" -0.8100857
1 "Lying" -0.78023657
1 "Lying" -0.81822431
1 "Lying" -0.88399635
1 "Lying" -0.83538
1 "Lying" -0.81822431
1 "Lying" -0.91780782
1 "Lying" -1
1 "Lying" -0.9427265
1 "Lying" -0.84346162
1 "Lying" -0.85385484
1 "Lying" -0.93000492
1 "Lying" -0.30486308
1 "Lying" -0.72043003
1 "Lying" -0.046296598
1 "Lying" 0.44568592
1 "Lying" 0.093993431
1 "Lying" -0.066367066
1 "Lying" 0.23659732
1 "Lying" 0.43062641
1 "Lying" 0.075016746
1 "Lying" -0.34772331
1 "Lying" -0.58672004
1 "Lying" -0.76498586
1 "Lying" -0.72816269
1 "Lying" -0.72119438
1 "Lying" -0.48289864
1 "Lying" -0.91780782
1 "Lying" -0.85378588
1 "Lying" -0.85378588
1 "Lying" -0.8735561
1 "Lying" -0.85378588
1 "Lying" -0.83538
1 "Lying" -0.84442011
1 "Lying" -0.86349227
1 "Lying" -0.81822431
1 "Lying" -0.8022263
1 "Lying" -0.8266521
1 "Lying" 0.4852944
1 "Lying" 0.10173986
1 "Lying" -0.31172919
1 "Lying" -0.19186023
1 "Lying" -0.11370366
1 "Lying" -0.33723073
1 "Lying" -0.57127541
1 "Lying" -0.64832512
1 "Lying" -0.38592944
1 "Lying" -0.41066405
1 "Lying" -0.58903306
1 "Sitting" -0.58985096
1 "Sitting" -0.60094453
1 "Sitting" -0.54363477
1 "Sitting" -0.56203107
1 "Sitting" -0.6177378
1 "Sitting" -0.62786347
1 "Sitting" -0.51976607
1 "Sitting" -0.58211553
1 "Sitting" -0.63477856
1 "Sitting" -0.39114362
1 "Sitting" -0.48060723
1 "Sitting" -0.70911126
1 "Sitting" -0.73833759
1 "Sitting" -0.83344524
1 "Sitting" -0.4554794
1 "Sitting" -0.68634223
1 "Sitting" -0.6960212
1 "Sitting" -0.76498586
1 "Sitting" -0.76047545
1 "Sitting" -0.75068914
1 "Sitting" -0.8011372
1 "Sitting" -0.77252396
1 "Sitting" -0.8011372
1 "Sitting" -0.8107474
1 "Sitting" -0.78730969
1 "Sitting" -0.76498586
1 "Sitting" -0.74268758
1 "Sitting" -0.47761835
1 "Sitting" -0.50004213
1 "Sitting" -0.57092162
1 "Sitting" -0.4114313
1 "Sitting" -0.39142921
1 "Sitting" -0.53671068
1 "Sitting" -0.6415953
1 "Sitting" -0.74278076
1 "Sitting" -0.67035566
1 "Sitting" -0.67889072
1 "Sitting" -0.73738409
1 "Sitting" -0.6960212
1 "Sitting" -0.64500778
1 "Sitting" -0.68387763
1 "Sitting" -0.51000138
1 "Sitting" -0.65387197
1 "Sitting" -0.66088354
1 "Sitting" -0.70911126
1 "Sitting" -0.74632426
1 "Sitting" -0.75793166
1 "Sitting" -0.74268758
1 "Sitting" -0.78033271
1 "Sitting" -0.76318039
1 "Sitting" -0.7042149
1 "Sitting" -0.72177569
1 "Sitting" -0.8022263
1 "Standing" -0.60168722
1 "Standing" -0.76682565
1 "Standing" -0.83538
1 "Standing" -0.30840433
1 "Standing" -0.052744187
1 "Standing" -0.54290727
1 "Standing" -0.86349227
1 "Standing" -0.8735561
1 "Standing" -0.85378588
1 "Standing" -0.8735561
1 "Standing" -0.8735561
1 "Standing" -0.573202
1 "Standing" -0.66860959
1 "Standing" -0.69797019
