"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.26119397
1 "Lying" -0.7112108
1 "Lying" -0.80680232
1 "Lying" -0.81192678
1 "Lying" -0.79738245
1 "Lying" -0.812404
1 "Lying" -0.75846383
1 "Lying" -0.83715581
1 "Lying" -0.94096391
1 "Lying" -0.86976546
1 "Lying" -0.80409718
1 "Lying" -0.82741747
1 "Lying" -0.76781584
1 "Lying" -0.051749689
1 "Lying" -0.36129161
1 "Lying" 0.17164829
1 "Lying" 0.29713984
1 "Lying" -0.020085046
1 "Lying" 0.30110407
1 "Lying" 0.49314187
1 "Lying" 0.34167737
1 "Lying" 0.024452359
1 "Lying" -0.23599739
1 "Lying" -0.41157247
1 "Lying" -0.63936823
1 "Lying" -0.64347062
1 "Lying" -0.61935224
1 "Lying" -0.34952657
1 "Lying" -0.53814572
1 "Lying" -0.67055451
1 "Lying" -0.63818208
1 "Lying" -0.73830291
1 "Lying" -0.75609425
1 "Lying" -0.69768617
1 "Lying" -0.78098132
1 "Lying" -0.76898192
1 "Lying" -0.70326076
1 "Lying" -0.71026446
1 "Lying" -0.69632018
1 "Lying" 0.38527317
1 "Lying" -0.23147026
1 "Lying" -0.60203777
1 "Lying" -0.57573231
1 "Lying" -0.74234885
1 "Lying" -0.78925481
1 "Lying" -0.80409718
1 "Lying" -0.87458441
1 "Lying" -0.82552925
1 "Lying" -0.83482926
1 "Lying" -0.85553228
1 "Sitting" -0.68845905
1 "Sitting" -0.74824724
1 "Sitting" -0.67295733
1 "Sitting" -0.73133214
1 "Sitting" -0.68309318
1 "Sitting" -0.68059049
1 "Sitting" -0.66607491
1 "Sitting" -0.66798651
1 "Sitting" -0.76525671
1 "Sitting" -0.55926549
1 "Sitting" -0.55926549
1 "Sitting" -0.7995478
1 "Sitting" -0.86976546
1 "Sitting" -0.82741747
1 "Sitting" -0.64118064
1 "Sitting" -0.76525671
1 "Sitting" -0.78065453
1 "Sitting" -0.79441256
1 "Sitting" -0.87806589
1 "Sitting" -0.91049251
1 "Sitting" -0.86636479
1 "Sitting" -0.87458441
1 "Sitting" -0.87458441
1 "Sitting" -0.83715581
1 "Sitting" -0.82003995
1 "Sitting" -0.78925481
1 "Sitting" -0.75063691
1 "Sitting" -0.51422823
1 "Sitting" -0.51725276
1 "Sitting" -0.51458532
1 "Sitting" -0.31741821
1 "Sitting" -0.18899633
1 "Sitting" -0.36505705
1 "Sitting" -0.56876793
1 "Sitting" -0.73525605
1 "Sitting" -0.60582763
1 "Sitting" -0.64098103
1 "Sitting" -0.79148863
1 "Sitting" -0.75781275
1 "Sitting" -0.66073184
1 "Sitting" -0.47771417
1 "Sitting" -0.41607247
1 "Sitting" -0.65663422
1 "Sitting" -0.82563993
1 "Sitting" -0.75860029
1 "Sitting" -0.72081405
1 "Sitting" -0.75149204
1 "Sitting" -0.78097054
1 "Sitting" -0.81246548
1 "Sitting" -0.79148863
1 "Sitting" -0.76458891
1 "Sitting" -0.74001122
1 "Sitting" -0.77545179
1 "Standing" -0.5588156
1 "Standing" -0.73064813
1 "Standing" -0.74259173
1 "Standing" -0.22562196
1 "Standing" 0.1664134
