"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99182912
1 "Lying" -0.9970135
1 "Lying" -0.99767984
1 "Lying" -0.99771444
1 "Lying" -0.9975202
1 "Lying" -0.99739802
1 "Lying" -0.99717462
1 "Lying" -0.99815671
1 "Lying" -0.99860971
1 "Lying" -0.99801255
1 "Lying" -0.99756835
1 "Lying" -0.9980683
1 "Lying" -0.99706325
1 "Lying" -0.96376925
1 "Lying" -0.98733906
1 "Lying" -0.97003649
1 "Lying" -0.90802828
1 "Lying" -0.97264391
1 "Lying" -0.95929337
1 "Lying" -0.77806864
1 "Lying" -0.86002745
1 "Lying" -0.97536457
1 "Lying" -0.98577037
1 "Lying" -0.99318171
1 "Lying" -0.99639194
1 "Lying" -0.99600141
1 "Lying" -0.99631232
1 "Lying" -0.98843999
1 "Lying" -0.99557933
1 "Lying" -0.99578238
1 "Lying" -0.99541965
1 "Lying" -0.99670697
1 "Lying" -0.99703605
1 "Lying" -0.99615049
1 "Lying" -0.99749189
1 "Lying" -0.9965866
1 "Lying" -0.99607812
1 "Lying" -0.99685598
1 "Lying" -0.996563
1 "Lying" -0.8840997
1 "Lying" -0.98575563
1 "Lying" -0.99539161
1 "Lying" -0.99475539
1 "Lying" -0.9968126
1 "Lying" -0.99747283
1 "Lying" -0.99798566
1 "Lying" -0.99855542
1 "Lying" -0.99864637
1 "Lying" -0.99852155
1 "Lying" -0.99881914
1 "Sitting" -0.99693892
1 "Sitting" -0.99730134
1 "Sitting" -0.99542776
1 "Sitting" -0.99707848
1 "Sitting" -0.99671765
1 "Sitting" -0.9961224
1 "Sitting" -0.99619198
1 "Sitting" -0.99628544
1 "Sitting" -0.9969638
1 "Sitting" -0.99336957
1 "Sitting" -0.99345268
1 "Sitting" -0.99790059
1 "Sitting" -0.99863019
1 "Sitting" -0.99788541
1 "Sitting" -0.99341811
1 "Sitting" -0.99606021
1 "Sitting" -0.99739532
1 "Sitting" -0.99768566
1 "Sitting" -0.99835905
1 "Sitting" -0.9989153
1 "Sitting" -0.9986342
1 "Sitting" -0.99851914
1 "Sitting" -0.99875361
1 "Sitting" -0.99854219
1 "Sitting" -0.99832712
1 "Sitting" -0.997692
1 "Sitting" -0.99738203
1 "Sitting" -0.99163502
1 "Sitting" -0.99122894
1 "Sitting" -0.99356963
1 "Sitting" -0.98991847
1 "Sitting" -0.98023004
1 "Sitting" -0.99161246
1 "Sitting" -0.99685924
1 "Sitting" -0.99705704
1 "Sitting" -0.99550354
1 "Sitting" -0.99572296
1 "Sitting" -0.99752411
1 "Sitting" -0.99756243
1 "Sitting" -0.99562349
1 "Sitting" -0.99460582
1 "Sitting" -0.99061447
1 "Sitting" -0.99507164
1 "Sitting" -0.99799947
1 "Sitting" -0.99719688
1 "Sitting" -0.99686848
1 "Sitting" -0.99768925
1 "Sitting" -0.99783874
1 "Sitting" -0.9978217
1 "Sitting" -0.99785835
1 "Sitting" -0.99790246
1 "Sitting" -0.99728299
1 "Sitting" -0.99780808
1 "Standing" -0.99528718
1 "Standing" -0.99804626
1 "Standing" -0.9981111
1 "Standing" -0.9935545
1 "Standing" -0.92816185
1 "Standing" -0.97572172
1 "Standing" -0.99084422
