"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.41579496
1 "Lying" -0.14375077
1 "Lying" -0.17099463
1 "Lying" -0.0636925
1 "Lying" -0.076652057
1 "Lying" 0.11903497
1 "Lying" 0.12215489
1 "Lying" 0.085689206
1 "Lying" -0.0030730174
1 "Lying" -0.0068283757
1 "Lying" -0.059413819
1 "Lying" -0.09377775
1 "Lying" -0.067676869
1 "Lying" -0.02826326
1 "Lying" -0.041653138
1 "Lying" 0.40579536
1 "Lying" 0.40305044
1 "Lying" -0.016236803
1 "Lying" 0.15396847
1 "Lying" 0.26367754
1 "Lying" 0.20994307
1 "Lying" 0.4159118
1 "Lying" -0.23352873
1 "Lying" -0.38138429
1 "Lying" 0.09459009
1 "Lying" 0.18218856
1 "Lying" 0.18055679
1 "Lying" -0.32557353
1 "Lying" -0.11905303
1 "Lying" -0.012451008
1 "Lying" -0.12428349
1 "Lying" -0.0032455291
1 "Lying" 0.036939831
1 "Lying" 0.14643132
1 "Lying" 0.084103281
1 "Lying" -0.019441361
1 "Lying" -0.024078897
1 "Lying" -0.22244799
1 "Lying" -0.18842487
1 "Lying" -0.15705382
1 "Lying" -0.3776788
1 "Lying" 0.0079631286
1 "Lying" -0.049632377
1 "Lying" 0.18149243
1 "Lying" -0.131782
1 "Lying" -0.24123303
1 "Lying" -0.39728905
1 "Lying" -0.28782858
1 "Lying" -0.17831313
1 "Lying" -0.41635873
1 "Sitting" -0.14577921
1 "Sitting" -0.10308433
1 "Sitting" -0.22058712
1 "Sitting" -0.315723
1 "Sitting" -0.14566464
1 "Sitting" 0.049574642
1 "Sitting" 0.20274247
1 "Sitting" 0.23369434
1 "Sitting" -0.0074530485
1 "Sitting" -0.24958036
1 "Sitting" -0.17144294
1 "Sitting" 0.23666013
1 "Sitting" -0.087643077
1 "Sitting" -0.22342985
1 "Sitting" -0.24447796
1 "Sitting" -0.062888979
1 "Sitting" 0.22776071
1 "Sitting" 0.25079686
1 "Sitting" -0.059032547
1 "Sitting" -0.084506646
1 "Sitting" -0.088755549
1 "Sitting" 0.015119297
1 "Sitting" 0.013210478
1 "Sitting" -0.027097284
1 "Sitting" 0.011379664
1 "Sitting" 0.010080229
1 "Sitting" 0.04040602
1 "Sitting" -0.084665541
1 "Sitting" -0.053153574
1 "Sitting" -0.041270459
1 "Sitting" 0.28161044
1 "Sitting" 0.29552539
1 "Sitting" -0.028476098
1 "Sitting" 0.16571155
1 "Sitting" -0.1852366
1 "Sitting" -0.095497658
1 "Sitting" -0.10803293
1 "Sitting" -0.093049278
1 "Sitting" -0.08095988
1 "Sitting" -0.36030016
1 "Sitting" 0.42117081
1 "Sitting" 0.094715647
1 "Sitting" 0.038417851
1 "Sitting" 0.16640915
1 "Sitting" 0.079887976
1 "Sitting" 0.072143207
1 "Sitting" 0.10900509
1 "Sitting" 0.2311652
1 "Sitting" 0.1108949
1 "Sitting" 0.20706795
1 "Sitting" 0.068192225
1 "Sitting" -0.11093122
1 "Sitting" -0.038448958
1 "Standing" -0.4976982
1 "Standing" -0.095356884
1 "Standing" -0.19116599
1 "Standing" -0.067513544
1 "Standing" 0.032730374
1 "Standing" 0.22090976
1 "Standing" 0.17595657
1 "Standing" -0.0061116914
1 "Standing" -0.010027002
1 "Standing" -0.2517638
1 "Standing" 0.051459258
1 "Standing" -0.029594524
1 "Standing" 0.1182476
1 "Standing" 0.077192798
1 "Standing" -0.095407502
1 "Standing" -0.04825851
1 "Standing" 0.064399776
1 "Standing" -0.11548328
1 "Standing" -0.043446563
1 "Standing" -0.077855993
1 "Standing" -0.41620774
1 "Standing" -0.39017788
1 "Standing" -0.17553883
1 "Standing" 0.0054983513
1 "Standing" -0.13543429
1 "Standing" 0.41201537
1 "Standing" 0.24714494
1 "Standing" 0.040302384
1 "Standing" -0.063556727
1 "Standing" 0.00236286
1 "Standing" 0.26281563
1 "Standing" 0.43152245
1 "Standing" 0.3570231
1 "Standing" -0.057174336
1 "Standing" -0.10889815
1 "Standing" -0.073011121
1 "Standing" -0.13927185
1 "Standing" -0.26982509
1 "Standing" 0.056006834
1 "Standing" 0.60269628
1 "Standing" 0.30568609
1 "Standing" 0.068315888
1 "Standing" -0.070448643
1 "Standing" -0.051990747
1 "Standing" 0.023241161
1 "Standing" 0.055247322
1 "Standing" -0.18511973
1 "Walking" -0.17682762
1 "Walking" -0.0035042806
1 "Walking" 0.10137632
1 "Walking" -0.064581037
1 "Walking" -0.055353921
1 "Walking" 0.051298122
1 "Walking" 0.0039767529
1 "Walking" 0.097796642
1 "Walking" -0.35397063
1 "Walking" -0.30963927
1 "Walking" -0.24476766
1 "Walking" -0.2828348
1 "Walking" 0.0036046568
1 "Walking" 0.16066179
1 "Walking" 0.14640379
1 "Walking" 0.0024538015
1 "Walking" -0.15636972
1 "Walking" -0.19257617
1 "Walking" -0.074857393
1 "Walking" -0.097703742
1 "Walking" -0.15380917
1 "Walking" -0.067599187
1 "Walking" -0.07731017
1 "Walking" 0.014161287
1 "Walking" 0.10881932
1 "Walking" 0.0063776582
1 "Walking" -0.021420451
1 "Walking" -0.067852509
1 "Walking" -0.066586844
1 "Walking" -0.19596404
1 "Walking" -0.0077216506
1 "Walking" -0.13027556
1 "Walking" -0.25755556
1 "Walking" -0.092817756
1 "Walking" -0.079997595
1 "Walking" -0.030131883
1 "Walking" -0.0023189572
1 "Walking" 0.034242253
1 "Walking" 0.066707136
1 "Walking" 0.14261939
1 "Walking" -0.0059585604
1 "Walking" -0.12438742
1 "Walking" -0.064744672
1 "Walking" 0.075378137
1 "Walking" -0.015647801
1 "Walking" -0.16152899
1 "Walking" -0.26046134
1 "Walking" -0.29914116
1 "Walking" -0.41298784
1 "Walking" -0.28009204
1 "Walking" -0.098079533
1 "Walking" -0.11900228
1 "Walking" -0.094801639
1 "Walking" -0.19787883
1 "Walking" -0.3595674
1 "Walking" 0.006222686
1 "Walking" 0.012398121
1 "Walking" 0.044974019
1 "Walking" -0.18681886
1 "Walking" -0.14928727
1 "Walking" -0.045254073
1 "Walking" -0.12588135
1 "Walking" 0.013262778
1 "Walking" -0.00063093486
1 "Walking" 0.039877487
1 "Walking" -0.12597985
1 "Walking" -0.21482756
1 "Walking" -0.13509707
1 "Walking" -0.34889812
1 "Walking" -0.27451372
1 "Walking" -0.077388805
1 "Walking" -0.059850419
1 "Walking" -0.14598766
1 "Walking" -0.14606453
1 "Walking" 0.05623017
1 "Walking" -0.09731861
1 "Walking" -0.43150183
1 "Walking" -0.3798621
1 "Walking" -0.2176171
1 "Walking" -0.13878458
1 "Walking" -0.19906053
1 "Walking" -0.50025567
1 "Walking" -0.404252
1 "Walking" -0.27403559
1 "Walking" -0.32082849
1 "Walking" -0.28490986
1 "Walking" -0.10030847
1 "Walking" -0.16046266
1 "Walking" -0.15545272
1 "Walking" -0.22882159
1 "Walking" -0.21042589
1 "Walking" -0.14338821
1 "Walking" -0.12828171
1 "Walking" -0.033551216
1 "Walking" -0.033650385
1 "Walking Down Stairs" 0.024390079
1 "Walking Down Stairs" 0.16187996
1 "Walking Down Stairs" 0.012775412
1 "Walking Down Stairs" -0.1206583
1 "Walking Down Stairs" -0.17916462
1 "Walking Down Stairs" -0.4491341
1 "Walking Down Stairs" -0.40721645
1 "Walking Down Stairs" 0.013243774
1 "Walking Down Stairs" 0.1370266
1 "Walking Down Stairs" -0.28511832
1 "Walking Down Stairs" -0.24327857
1 "Walking Down Stairs" -0.039864467
1 "Walking Down Stairs" -0.10410785
1 "Walking Down Stairs" -0.37938678
1 "Walking Down Stairs" -0.12300701
1 "Walking Down Stairs" 0.20505929
