"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.94736408
1 "Lying" -0.99880107
1 "Lying" -0.99854116
1 "Lying" -0.99867843
1 "Lying" -0.99931824
1 "Lying" -0.99932537
1 "Lying" -0.99895977
1 "Lying" -0.99888882
1 "Lying" -0.99915824
1 "Lying" -0.99909611
1 "Lying" -0.99906078
1 "Lying" -0.99891789
1 "Lying" -0.99875659
1 "Lying" -0.9246231
1 "Lying" -0.98893984
1 "Lying" -0.74699548
1 "Lying" -0.77651208
1 "Lying" -0.93855064
1 "Lying" -0.79082274
1 "Lying" -0.60892749
1 "Lying" -0.60974821
1 "Lying" -0.913459
1 "Lying" -0.98687109
1 "Lying" -0.98644631
1 "Lying" -0.99695287
1 "Lying" -0.99680307
1 "Lying" -0.996819
1 "Lying" -0.98123924
1 "Lying" -0.99503687
1 "Lying" -0.9973653
1 "Lying" -0.99755389
1 "Lying" -0.99829736
1 "Lying" -0.99836645
1 "Lying" -0.99765325
1 "Lying" -0.99824236
1 "Lying" -0.99798391
1 "Lying" -0.99747713
1 "Lying" -0.99847738
1 "Lying" -0.99827653
1 "Lying" -0.59742658
1 "Lying" -0.79086231
1 "Lying" -0.96700633
1 "Lying" -0.96779805
1 "Lying" -0.97895057
1 "Lying" -0.9913847
1 "Lying" -0.99360204
1 "Lying" -0.99656118
1 "Lying" -0.98920322
1 "Lying" -0.98809352
1 "Lying" -0.9925812
1 "Sitting" -0.99314298
1 "Sitting" -0.99583855
1 "Sitting" -0.99485947
1 "Sitting" -0.99530481
1 "Sitting" -0.99630727
1 "Sitting" -0.99606962
1 "Sitting" -0.99493528
1 "Sitting" -0.9950755
1 "Sitting" -0.99587893
1 "Sitting" -0.99071032
1 "Sitting" -0.99046206
1 "Sitting" -0.99762665
1 "Sitting" -0.99895227
1 "Sitting" -0.99920386
1 "Sitting" -0.99012798
1 "Sitting" -0.99818395
1 "Sitting" -0.99798318
1 "Sitting" -0.99777193
1 "Sitting" -0.99849586
1 "Sitting" -0.99955128
1 "Sitting" -0.9991135
1 "Sitting" -0.99853387
1 "Sitting" -0.99881922
1 "Sitting" -0.99903399
1 "Sitting" -0.99890629
1 "Sitting" -0.99850117
1 "Sitting" -0.99819748
1 "Sitting" -0.98853728
1 "Sitting" -0.99199857
1 "Sitting" -0.99309487
1 "Sitting" -0.98081226
1 "Sitting" -0.98239993
1 "Sitting" -0.98673326
1 "Sitting" -0.99223607
1 "Sitting" -0.99855783
1 "Sitting" -0.99238863
1 "Sitting" -0.99223726
1 "Sitting" -0.99849211
1 "Sitting" -0.99854253
1 "Sitting" -0.99740634
1 "Sitting" -0.99131535
1 "Sitting" -0.98347547
1 "Sitting" -0.99627194
1 "Sitting" -0.99781086
1 "Sitting" -0.99633631
1 "Sitting" -0.99680656
1 "Sitting" -0.99796536
1 "Sitting" -0.99815387
1 "Sitting" -0.99880229
1 "Sitting" -0.99822566
1 "Sitting" -0.99736977
1 "Sitting" -0.99760406
1 "Sitting" -0.99869078
1 "Standing" -0.98343932
1 "Standing" -0.99875556
1 "Standing" -0.99913887
1 "Standing" -0.82497079
1 "Standing" -0.85432528
1 "Standing" -0.95111665
1 "Standing" -0.99095088
1 "Standing" -0.99652616
1 "Standing" -0.99686875
1 "Standing" -0.99653942
1 "Standing" -0.99646991
1 "Standing" -0.99381555
1 "Standing" -0.9964689
