"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98697113
1 "Lying" -0.9907624
1 "Lying" -0.99149975
1 "Lying" -0.99437824
1 "Lying" -0.99437824
1 "Lying" -0.99435866
1 "Lying" -0.99274152
1 "Lying" -0.99274152
1 "Lying" -0.99553895
1 "Lying" -0.99553895
1 "Lying" -0.99516919
1 "Lying" -0.99086618
1 "Lying" -0.98969026
1 "Lying" -0.98404316
1 "Lying" -0.98939341
1 "Lying" -0.98939341
1 "Lying" -0.87504519
1 "Lying" -0.96932533
1 "Lying" -0.96932533
1 "Lying" -0.87732288
1 "Lying" -0.99020751
1 "Lying" -0.99020751
1 "Lying" -0.98593376
1 "Lying" -0.99298573
1 "Lying" -0.99298573
1 "Lying" -0.99258315
1 "Lying" -0.99069092
1 "Lying" -0.98437649
1 "Lying" -0.99105038
1 "Lying" -0.99105038
1 "Lying" -0.99340398
1 "Lying" -0.99340398
1 "Lying" -0.99233927
1 "Lying" -0.99250185
1 "Lying" -0.99250185
1 "Lying" -0.99079822
1 "Lying" -0.9954304
1 "Lying" -0.9954304
1 "Lying" -0.99332605
1 "Lying" -0.94263723
1 "Lying" -0.95582404
1 "Lying" -0.97343363
1 "Lying" -0.97343363
1 "Lying" -0.99019393
1 "Lying" -0.99019393
1 "Lying" -0.98934657
1 "Lying" -0.99156463
1 "Lying" -0.99156463
1 "Lying" -0.99380246
1 "Lying" -0.99380246
1 "Sitting" -0.99348603
1 "Sitting" -0.99200604
1 "Sitting" -0.99765184
1 "Sitting" -0.99765184
1 "Sitting" -0.99219267
1 "Sitting" -0.9927537
1 "Sitting" -0.9927537
1 "Sitting" -0.99232373
1 "Sitting" -0.99232373
1 "Sitting" -0.98974543
1 "Sitting" -0.9934785
1 "Sitting" -0.9934785
1 "Sitting" -0.99094803
1 "Sitting" -0.99835678
1 "Sitting" -0.98947032
1 "Sitting" -0.98947032
1 "Sitting" -0.98870879
1 "Sitting" -0.99619464
1 "Sitting" -0.99619464
1 "Sitting" -0.99508798
1 "Sitting" -0.99366851
1 "Sitting" -0.99366851
1 "Sitting" -0.99191487
1 "Sitting" -0.99191487
1 "Sitting" -0.9885094
1 "Sitting" -0.9881282
1 "Sitting" -0.99544543
1 "Sitting" -0.98872575
1 "Sitting" -0.98882855
1 "Sitting" -0.98882855
1 "Sitting" -0.97994716
1 "Sitting" -0.98016619
1 "Sitting" -0.98789612
1 "Sitting" -0.98789612
1 "Sitting" -0.98608442
1 "Sitting" -0.98318455
1 "Sitting" -0.99041621
1 "Sitting" -0.99041621
1 "Sitting" -0.98860484
1 "Sitting" -0.99389071
1 "Sitting" -0.99389071
1 "Sitting" -0.9851307
1 "Sitting" -0.98824347
1 "Sitting" -0.99284532
1 "Sitting" -0.99284532
1 "Sitting" -0.99000044
1 "Sitting" -0.99404629
1 "Sitting" -0.99695326
1 "Sitting" -0.99695326
1 "Sitting" -0.99317603
1 "Sitting" -0.99317603
1 "Sitting" -0.99268932
1 "Sitting" -0.98879238
1 "Standing" -0.99107502
1 "Standing" -0.99474147
1 "Standing" -0.99731581
1 "Standing" -0.99731581
1 "Standing" -0.9932907
1 "Standing" -0.99286396
1 "Standing" -0.99286396
1 "Standing" -0.99042252
1 "Standing" -0.99271209
1 "Standing" -0.99271209
1 "Standing" -0.99398167
1 "Standing" -0.98349555
1 "Standing" -0.98761012
1 "Standing" -0.99079221
1 "Standing" -0.99500827
1 "Standing" -0.99500827
1 "Standing" -0.99227633
1 "Standing" -0.99179903
1 "Standing" -0.99179903
1 "Standing" -0.9881965
1 "Standing" -0.9959606
1 "Standing" -0.9959606
1 "Standing" -0.99519529
1 "Standing" -0.99158318
1 "Standing" -0.98945154
1 "Standing" -0.99435854
1 "Standing" -0.99435854
1 "Standing" -0.99328487
1 "Standing" -0.99294206
1 "Standing" -0.99294206
1 "Standing" -0.99289404
1 "Standing" -0.99543228
1 "Standing" -0.99543228
1 "Standing" -0.99402017
1 "Standing" -0.99179849
1 "Standing" -0.97637652
1 "Standing" -0.9917192
1 "Standing" -0.9917192
1 "Standing" -0.99859975
1 "Standing" -0.99859975
1 "Standing" -0.99509804
1 "Standing" -0.99370361
1 "Standing" -0.99815252
1 "Standing" -0.99815252
1 "Standing" -0.99171281
1 "Standing" -0.98962704
1 "Standing" -0.99211024
1 "Walking" -0.59944186
1 "Walking" -0.76484791
1 "Walking" -0.76484791
1 "Walking" -0.53265475
1 "Walking" -0.70597466
1 "Walking" -0.70597466
1 "Walking" -0.54804284
1 "Walking" -0.63652429
1 "Walking" -0.5148462
1 "Walking" -0.82360017
1 "Walking" -0.82360017
1 "Walking" -0.23456612
1 "Walking" -0.51087945
1 "Walking" -0.77540209
1 "Walking" -0.77540209
1 "Walking" -0.79996123
1 "Walking" -0.79996123
1 "Walking" -0.65849491
1 "Walking" -0.65849491
1 "Walking" -0.55089401
1 "Walking" -0.071989906
1 "Walking" -0.58776977
1 "Walking" -0.58776977
1 "Walking" -0.54293385
1 "Walking" -0.64122359
1 "Walking" -0.64122359
1 "Walking" -0.57676476
1 "Walking" -0.57676476
1 "Walking" -0.52001108
1 "Walking" -0.70013949
1 "Walking" -0.70013949
1 "Walking" -0.65557123
1 "Walking" -0.83951549
1 "Walking" -0.74806579
1 "Walking" -0.74806579
1 "Walking" -0.50274845
1 "Walking" -0.12845474
1 "Walking" -0.71421672
1 "Walking" -0.71421672
1 "Walking" -0.24534523
1 "Walking" -0.58855934
1 "Walking" -0.58855934
1 "Walking" -0.46212756
1 "Walking" -0.44870602
1 "Walking" -0.038241924
1 "Walking" -0.45032638
1 "Walking" -0.45032638
1 "Walking" -0.47201297
1 "Walking" -0.43046186
1 "Walking" -0.43046186
1 "Walking" -0.51828556
1 "Walking" -0.71293656
1 "Walking" -0.71293656
1 "Walking" -0.24508597
1 "Walking" -0.24508597
1 "Walking" -0.70060143
1 "Walking" -0.70060143
1 "Walking" -0.54922744
1 "Walking" -0.61665013
1 "Walking" -0.61665013
1 "Walking" -0.72047612
1 "Walking" -0.72047612
1 "Walking" -0.56959676
1 "Walking" -0.43606827
1 "Walking" -0.43606827
1 "Walking" -0.44656941
1 "Walking" -0.44656941
1 "Walking" -0.55833007
1 "Walking" -0.41157336
1 "Walking" -0.51557656
1 "Walking" -0.51557656
1 "Walking" -0.40987967
1 "Walking" -0.26805266
1 "Walking" -0.55600157
1 "Walking" -0.55600157
1 "Walking" -0.48080239
1 "Walking" -0.51690101
1 "Walking" -0.51690101
1 "Walking" -0.46725443
1 "Walking" -0.51556744
1 "Walking" -0.51556744
1 "Walking" -0.48245544
1 "Walking" -0.34348514
1 "Walking" -0.042831635
1 "Walking" -0.22491229
1 "Walking" -0.22491229
1 "Walking" -0.54289447
1 "Walking" -0.54289447
1 "Walking" -0.41538063
1 "Walking" -0.41538063
1 "Walking" -0.2157323
1 "Walking" -0.30525491
1 "Walking" -0.61133794
1 "Walking" -0.61133794
1 "Walking" -0.36531517
1 "Walking Down Stairs" -0.80861246
1 "Walking Down Stairs" -0.80861246
1 "Walking Down Stairs" -0.12370331
1 "Walking Down Stairs" -0.52183655
1 "Walking Down Stairs" -0.52183655
1 "Walking Down Stairs" -0.32117453
1 "Walking Down Stairs" -0.32117453
1 "Walking Down Stairs" -0.25571854
1 "Walking Down Stairs" -0.14562224
1 "Walking Down Stairs" -0.36528021
1 "Walking Down Stairs" -0.36528021
1 "Walking Down Stairs" -0.31980867
1 "Walking Down Stairs" -0.76199932
1 "Walking Down Stairs" -0.76199932
1 "Walking Down Stairs" -0.43315073
1 "Walking Down Stairs" -0.48434124
1 "Walking Down Stairs" -0.6419386
1 "Walking Down Stairs" -0.12752761
1 "Walking Down Stairs" -0.42866873
1 "Walking Down Stairs" -0.42866873
1 "Walking Down Stairs" -0.20288466
1 "Walking Down Stairs" -0.58624557
1 "Walking Down Stairs" -0.58624557
1 "Walking Down Stairs" -0.41521828
1 "Walking Down Stairs" -0.28887679
1 "Walking Down Stairs" -0.60625086
1 "Walking Down Stairs" -0.5374657
1 "Walking Down Stairs" -0.65307854
1 "Walking Down Stairs" -0.46479529
1 "Walking Down Stairs" -0.51283272
1 "Walking Down Stairs" -0.51283272
1 "Walking Down Stairs" -0.48038124
1 "Walking Down Stairs" -0.34526166
1 "Walking Down Stairs" -0.48575512
1 "Walking Down Stairs" -0.75148373
1 "Walking Down Stairs" -0.75148373
1 "Walking Down Stairs" -0.59857774
1 "Walking Down Stairs" -0.59857774
1 "Walking Down Stairs" -0.23186591
1 "Walking Down Stairs" -0.3084365
1 "Walking Down Stairs" -0.3084365
1 "Walking Down Stairs" -0.27402289
1 "Walking Down Stairs" -0.27402289
1 "Walking Down Stairs" -0.23134267
1 "Walking Down Stairs" -0.17929572
1 "Walking Down Stairs" -0.073195376
1 "Walking Down Stairs" -0.53039809
1 "Walking Down Stairs" -0.53039809
1 "Walking Down Stairs" -0.62645245
1 "Walking Up Stairs" -0.59087644
1 "Walking Up Stairs" -0.59333132
1 "Walking Up Stairs" -0.59333132
1 "Walking Up Stairs" -0.48313426
1 "Walking Up Stairs" -0.66056419
1 "Walking Up Stairs" -0.80143921
1 "Walking Up Stairs" -0.80143921
1 "Walking Up Stairs" -0.68870771
1 "Walking Up Stairs" -0.52147851
1 "Walking Up Stairs" -0.44423336
1 "Walking Up Stairs" -0.55310757
1 "Walking Up Stairs" -0.95189486
1 "Walking Up Stairs" -0.95189486
1 "Walking Up Stairs" -0.48929859
1 "Walking Up Stairs" -0.48929859
1 "Walking Up Stairs" -0.55937357
1 "Walking Up Stairs" -0.7714994
1 "Walking Up Stairs" -0.6395806
1 "Walking Up Stairs" -0.71934742
1 "Walking Up Stairs" -0.71934742
1 "Walking Up Stairs" -0.53648483
1 "Walking Up Stairs" -0.78110876
1 "Walking Up Stairs" -0.78110876
