"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98164975
1 "Lying" -0.99755348
1 "Lying" -0.99415155
1 "Lying" -0.99487366
1 "Lying" -0.99761124
1 "Lying" -0.99707612
1 "Lying" -0.99685632
1 "Lying" -0.99681687
1 "Lying" -0.99561074
1 "Lying" -0.99502785
1 "Lying" -0.99653875
1 "Lying" -0.99661368
1 "Lying" -0.99567922
1 "Lying" -0.95364705
1 "Lying" -0.99058683
1 "Lying" -0.86787954
1 "Lying" -0.8428486
1 "Lying" -0.96147431
1 "Lying" -0.88277093
1 "Lying" -0.73542326
1 "Lying" -0.8130164
1 "Lying" -0.96586583
1 "Lying" -0.99116268
1 "Lying" -0.99409185
1 "Lying" -0.99597702
1 "Lying" -0.99684973
1 "Lying" -0.99717009
1 "Lying" -0.98557484
1 "Lying" -0.99255832
1 "Lying" -0.99605802
1 "Lying" -0.99647135
1 "Lying" -0.99562243
1 "Lying" -0.9949527
1 "Lying" -0.99466986
1 "Lying" -0.99610803
1 "Lying" -0.99513083
1 "Lying" -0.99601892
1 "Lying" -0.99796047
1 "Lying" -0.99750664
1 "Lying" -0.70842437
1 "Lying" -0.85627797
1 "Lying" -0.94458178
1 "Lying" -0.96877145
1 "Lying" -0.98106619
1 "Lying" -0.98009655
1 "Lying" -0.98464244
1 "Lying" -0.98873072
1 "Lying" -0.98225491
1 "Lying" -0.98313534
1 "Lying" -0.98561129
1 "Sitting" -0.99261905
1 "Sitting" -0.99377834
1 "Sitting" -0.99159633
1 "Sitting" -0.99401945
1 "Sitting" -0.99438301
1 "Sitting" -0.99263396
1 "Sitting" -0.98986093
1 "Sitting" -0.99013635
1 "Sitting" -0.99385425
1 "Sitting" -0.98594735
1 "Sitting" -0.98701124
1 "Sitting" -0.9971476
1 "Sitting" -0.99789766
1 "Sitting" -0.99609803
1 "Sitting" -0.99100636
1 "Sitting" -0.99674191
1 "Sitting" -0.99532111
1 "Sitting" -0.99312381
1 "Sitting" -0.99605188
1 "Sitting" -0.9971732
1 "Sitting" -0.99564396
1 "Sitting" -0.99572954
1 "Sitting" -0.99612572
1 "Sitting" -0.99505171
1 "Sitting" -0.99307676
1 "Sitting" -0.99388225
1 "Sitting" -0.99519583
1 "Sitting" -0.98943785
1 "Sitting" -0.98694504
1 "Sitting" -0.98862702
1 "Sitting" -0.97185517
1 "Sitting" -0.96930761
1 "Sitting" -0.98898066
1 "Sitting" -0.99437521
1 "Sitting" -0.99591976
1 "Sitting" -0.98654869
1 "Sitting" -0.98661963
1 "Sitting" -0.99513482
1 "Sitting" -0.99721998
1 "Sitting" -0.99710903
1 "Sitting" -0.99507197
1 "Sitting" -0.98115484
1 "Sitting" -0.99290088
1 "Sitting" -0.99503649
1 "Sitting" -0.99579219
1 "Sitting" -0.99529337
1 "Sitting" -0.9962389
1 "Sitting" -0.99645719
1 "Sitting" -0.99581736
1 "Sitting" -0.9968005
1 "Sitting" -0.9963119
1 "Sitting" -0.9948051
1 "Sitting" -0.9957781
1 "Standing" -0.98694566
1 "Standing" -0.99633819
1 "Standing" -0.99803474
1 "Standing" -0.89525272
1 "Standing" -0.86526037
1 "Standing" -0.96290242
1 "Standing" -0.99438954
1 "Standing" -0.99753875
1 "Standing" -0.99684238
1 "Standing" -0.99510985
1 "Standing" -0.99445355
1 "Standing" -0.99259643
1 "Standing" -0.99661824
1 "Standing" -0.9962618
1 "Standing" -0.99768885
1 "Standing" -0.99684044
1 "Standing" -0.99547186
1 "Standing" -0.99471093
1 "Standing" -0.99466962
1 "Standing" -0.9954214
1 "Standing" -0.99482152
1 "Standing" -0.99388396
1 "Standing" -0.99427012
1 "Standing" -0.9949567
1 "Standing" -0.99428693
1 "Standing" -0.99667523
1 "Standing" -0.99718353
1 "Standing" -0.99710931
1 "Standing" -0.9972551
1 "Standing" -0.99769154
1 "Standing" -0.99738629
1 "Standing" -0.995658
1 "Standing" -0.99432387
1 "Standing" -0.99590503
1 "Standing" -0.99718156
1 "Standing" -0.98431106
1 "Standing" -0.9940679
1 "Standing" -0.99518792
1 "Standing" -0.99493228
1 "Standing" -0.99445091
1 "Standing" -0.99616569
1 "Standing" -0.99695261
1 "Standing" -0.99686937
1 "Standing" -0.99687083
1 "Standing" -0.99550543
1 "Standing" -0.99526151
1 "Standing" -0.99380016
1 "Walking" -0.43231831
1 "Walking" -0.37798102
1 "Walking" -0.35725145
1 "Walking" -0.32351594
1 "Walking" -0.41872155
1 "Walking" -0.45779956
1 "Walking" -0.41070197
1 "Walking" -0.37452296
1 "Walking" -0.54105951
1 "Walking" -0.40463794
1 "Walking" -0.36212296
1 "Walking" -0.34520137
1 "Walking" -0.32818785
1 "Walking" -0.33611331
1 "Walking" -0.2690176
1 "Walking" -0.25332918
1 "Walking" -0.32486429
1 "Walking" -0.3645683
1 "Walking" -0.35804981
1 "Walking" -0.43351477
1 "Walking" -0.29526597
1 "Walking" -0.32818448
1 "Walking" -0.3712331
1 "Walking" -0.29222147
1 "Walking" -0.36550491
1 "Walking" -0.41075275
1 "Walking" -0.42918621
1 "Walking" -0.42789744
1 "Walking" -0.36582351
1 "Walking" -0.29548768
1 "Walking" -0.28903697
1 "Walking" -0.39453465
1 "Walking" -0.44359609
1 "Walking" -0.37360649
1 "Walking" -0.42995827
1 "Walking" -0.45300855
1 "Walking" -0.46766475
1 "Walking" -0.42272938
1 "Walking" -0.33998167
1 "Walking" -0.3743507
1 "Walking" -0.46273468
1 "Walking" -0.45558285
1 "Walking" -0.50218374
1 "Walking" -0.48834372
1 "Walking" -0.39606739
1 "Walking" -0.41685273
1 "Walking" -0.44629189
1 "Walking" -0.49904798
1 "Walking" -0.51327941
1 "Walking" -0.44819551
1 "Walking" -0.38752442
1 "Walking" -0.41427773
1 "Walking" -0.45812803
1 "Walking" -0.42752094
1 "Walking" -0.44983891
1 "Walking" -0.39637371
1 "Walking" -0.37395847
1 "Walking" -0.42826505
1 "Walking" -0.45367481
1 "Walking" -0.43849292
1 "Walking" -0.43540975
1 "Walking" -0.46280492
1 "Walking" -0.41589206
1 "Walking" -0.37567355
1 "Walking" -0.38463797
1 "Walking" -0.40145116
1 "Walking" -0.31635496
1 "Walking" -0.30560009
1 "Walking" -0.40234808
1 "Walking" -0.39595231
1 "Walking" -0.33971194
1 "Walking" -0.35408385
1 "Walking" -0.4108869
