"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.95288988
1 "Lying" 0.99793005
1 "Lying" 0.99938887
1 "Lying" 0.9992703
1 "Lying" 0.9992703
1 "Lying" 0.99914814
1 "Lying" 0.99902288
1 "Lying" 0.99902288
1 "Lying" 0.99946736
1 "Lying" 0.99890047
1 "Lying" 0.99890047
1 "Lying" 0.99854398
1 "Lying" 0.99854398
1 "Lying" 0.95898501
1 "Lying" 0.99229315
1 "Lying" 0.90385502
1 "Lying" 0.90385502
1 "Lying" 0.97342055
1 "Lying" 0.86822904
1 "Lying" 0.67664895
1 "Lying" 0.67664895
1 "Lying" 0.93639093
1 "Lying" 0.98795724
1 "Lying" 0.98795724
1 "Lying" 0.99679261
1 "Lying" 0.99679261
1 "Lying" 0.99760759
1 "Lying" 0.97246667
1 "Lying" 0.98629397
1 "Lying" 0.99707798
1 "Lying" 0.99707798
1 "Lying" 0.99760163
1 "Lying" 0.99829618
1 "Lying" 0.99722626
1 "Lying" 0.99722626
1 "Lying" 0.99809792
1 "Lying" 0.99809792
1 "Lying" 0.99826677
1 "Lying" 0.99712101
1 "Lying" 0.81334552
1 "Lying" 0.82341392
1 "Lying" 0.99384709
1 "Lying" 0.99344593
1 "Lying" 0.99344593
1 "Lying" 0.99878804
1 "Lying" 0.99878804
1 "Lying" 0.99952564
1 "Lying" 0.99863448
1 "Lying" 0.99863448
1 "Lying" 0.99907505
1 "Sitting" 0.99175581
1 "Sitting" 0.99712219
1 "Sitting" 0.99712219
1 "Sitting" 0.99813033
1 "Sitting" 0.99745314
1 "Sitting" 0.99745314
1 "Sitting" 0.99657686
1 "Sitting" 0.99657686
1 "Sitting" 0.99443314
1 "Sitting" 0.99443314
1 "Sitting" 0.99488906
1 "Sitting" 0.99756624
1 "Sitting" 0.99902394
1 "Sitting" 0.99853798
1 "Sitting" 0.99462905
1 "Sitting" 0.99823913
1 "Sitting" 0.99781159
1 "Sitting" 0.99781159
1 "Sitting" 0.99881033
1 "Sitting" 0.99999475
1 "Sitting" 0.99923251
1 "Sitting" 0.99923251
1 "Sitting" 0.99932569
1 "Sitting" 0.99844816
1 "Sitting" 0.99844816
1 "Sitting" 0.9986282
1 "Sitting" 0.99880259
1 "Sitting" 0.98432966
1 "Sitting" 0.99383798
1 "Sitting" 0.99383798
1 "Sitting" 0.98232243
1 "Sitting" 0.98232243
1 "Sitting" 0.98502795
1 "Sitting" 0.98502795
1 "Sitting" 0.99870484
1 "Sitting" 0.99191502
1 "Sitting" 0.99191502
1 "Sitting" 0.99799663
1 "Sitting" 0.99799663
1 "Sitting" 0.9980084
1 "Sitting" 0.98079829
1 "Sitting" 0.97687487
1 "Sitting" 0.99611468
1 "Sitting" 0.99843359
1 "Sitting" 0.99427134
1 "Sitting" 0.99427134
1 "Sitting" 0.99740144
1 "Sitting" 0.99740144
1 "Sitting" 0.99777248
1 "Sitting" 0.99777248
1 "Sitting" 0.99827912
1 "Sitting" 0.99827912
1 "Sitting" 0.99860522
1 "Standing" 0.98133991
1 "Standing" 0.99917934
1 "Standing" 0.99894712
1 "Standing" 0.92114238
1 "Standing" 0.92114238
1 "Standing" 0.96946471
1 "Standing" 0.98997344
1 "Standing" 0.99463727
1 "Standing" 0.99397606
1 "Standing" 0.99397606
1 "Standing" 0.99435224
1 "Standing" 0.99554754
1 "Standing" 0.99554754
1 "Standing" 0.99694504
1 "Standing" 0.99632888
1 "Standing" 0.99632888
1 "Standing" 0.99772379
1 "Standing" 0.99716972
1 "Standing" 0.99716972
1 "Standing" 0.9973637
1 "Standing" 0.99865438
1 "Standing" 0.99854725
1 "Standing" 0.99702196
1 "Standing" 0.99696255
1 "Standing" 0.99099365
1 "Standing" 0.99586041
1 "Standing" 0.99586041
1 "Standing" 0.99701241
1 "Standing" 0.99701241
1 "Standing" 0.99768451
1 "Standing" 0.99768451
1 "Standing" 0.99717488
1 "Standing" 0.99717488
1 "Standing" 0.99726016
1 "Standing" 0.99797076
1 "Standing" 0.98749848
1 "Standing" 0.99702521
1 "Standing" 0.99702521
1 "Standing" 0.99816659
1 "Standing" 0.99748387
1 "Standing" 0.99621811
1 "Standing" 0.99621811
1 "Standing" 0.99805792
1 "Standing" 0.99805792
1 "Standing" 0.99686398
1 "Standing" 0.99686398
1 "Standing" 0.9857479
1 "Walking" 0.51564168
1 "Walking" 0.56015388
1 "Walking" 0.53664511
1 "Walking" 0.53664511
1 "Walking" 0.58227221
1 "Walking" 0.58227221
1 "Walking" 0.62738914
1 "Walking" 0.61183275
1 "Walking" 0.53601577
1 "Walking" 0.53037509
1 "Walking" 0.53037509
1 "Walking" 0.49239838
1 "Walking" 0.45200573
1 "Walking" 0.3534239
1 "Walking" 0.3534239
1 "Walking" 0.52454729
1 "Walking" 0.47263265
1 "Walking" 0.41928482
1 "Walking" 0.23805402
1 "Walking" 0.23805402
1 "Walking" 0.63327458
1 "Walking" 0.63327458
1 "Walking" 0.42710936
1 "Walking" 0.28230632
1 "Walking" 0.28230632
1 "Walking" 0.43972586
1 "Walking" 0.43972586
1 "Walking" 0.55271381
1 "Walking" 0.52612899
1 "Walking" 0.52612899
1 "Walking" 0.46203281
1 "Walking" 0.46203281
1 "Walking" 0.62002984
1 "Walking" 0.43173647
1 "Walking" 0.43173647
1 "Walking" 0.57408561
1 "Walking" 0.55285838
1 "Walking" 0.531144
1 "Walking" 0.531144
1 "Walking" 0.59850702
1 "Walking" 0.59850702
1 "Walking" 0.65938827
1 "Walking" 0.65938827
1 "Walking" 0.45993493
1 "Walking" 0.45993493
1 "Walking" 0.59940597
1 "Walking" 0.59940597
1 "Walking" 0.49095021
1 "Walking" 0.4943989
1 "Walking" 0.38090483
1 "Walking" 0.38090483
1 "Walking" 0.31955127
1 "Walking" 0.31955127
1 "Walking" 0.41039731
1 "Walking" 0.45306743
1 "Walking" 0.36494576
1 "Walking" 0.36494576
1 "Walking" 0.39984952
1 "Walking" 0.44403689
1 "Walking" 0.33013419
1 "Walking" 0.33013419
1 "Walking" 0.41452156
1 "Walking" 0.2942598
1 "Walking" 0.2942598
1 "Walking" 0.29668467
1 "Walking" 0.52588509
1 "Walking" 0.01669
1 "Walking" 0.01669
1 "Walking" 0.3002
1 "Walking" 0.3002
1 "Walking" 0.4798989
1 "Walking" 0.32264647
1 "Walking" 0.32264647
1 "Walking" 0.40002804
