"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.97210194
1 "Lying" -0.99760705
1 "Lying" -0.99421976
1 "Lying" -0.99459715
1 "Lying" -0.99741291
1 "Lying" -0.99696266
1 "Lying" -0.99688103
1 "Lying" -0.99661481
1 "Lying" -0.99560969
1 "Lying" -0.99559588
1 "Lying" -0.99683583
1 "Lying" -0.99667168
1 "Lying" -0.99587538
1 "Lying" -0.93483004
1 "Lying" -0.99042969
1 "Lying" -0.81663018
1 "Lying" -0.81213818
1 "Lying" -0.95947402
1 "Lying" -0.85893273
1 "Lying" -0.71632539
1 "Lying" -0.74996313
1 "Lying" -0.94851936
1 "Lying" -0.99161134
1 "Lying" -0.99388327
1 "Lying" -0.99616353
1 "Lying" -0.99696431
1 "Lying" -0.99684568
1 "Lying" -0.98518832
1 "Lying" -0.99333825
1 "Lying" -0.9957919
1 "Lying" -0.99610704
1 "Lying" -0.99545355
1 "Lying" -0.99543408
1 "Lying" -0.99498005
1 "Lying" -0.99583181
1 "Lying" -0.99458669
1 "Lying" -0.9953164
1 "Lying" -0.99779685
1 "Lying" -0.99758112
1 "Lying" -0.66232997
1 "Lying" -0.8153538
1 "Lying" -0.94248683
1 "Lying" -0.96436197
1 "Lying" -0.98064287
1 "Lying" -0.9800886
1 "Lying" -0.98335341
1 "Lying" -0.98880223
1 "Lying" -0.98078165
1 "Lying" -0.98077712
1 "Lying" -0.98342685
1 "Sitting" -0.99205528
1 "Sitting" -0.993851
1 "Sitting" -0.99153184
1 "Sitting" -0.99332889
1 "Sitting" -0.99451099
1 "Sitting" -0.99309059
1 "Sitting" -0.9904868
1 "Sitting" -0.99073859
1 "Sitting" -0.99395634
1 "Sitting" -0.98439956
1 "Sitting" -0.98476218
1 "Sitting" -0.99655031
1 "Sitting" -0.99789314
1 "Sitting" -0.99637756
1 "Sitting" -0.98983733
1 "Sitting" -0.9966766
1 "Sitting" -0.99496175
1 "Sitting" -0.99343448
1 "Sitting" -0.99594305
1 "Sitting" -0.99715752
1 "Sitting" -0.99589195
1 "Sitting" -0.99586503
1 "Sitting" -0.99636971
1 "Sitting" -0.99575499
1 "Sitting" -0.99400441
1 "Sitting" -0.99445348
1 "Sitting" -0.99537407
1 "Sitting" -0.98979595
1 "Sitting" -0.98669922
1 "Sitting" -0.98784024
1 "Sitting" -0.96446838
1 "Sitting" -0.96315972
1 "Sitting" -0.98819587
1 "Sitting" -0.9941352
1 "Sitting" -0.99642675
1 "Sitting" -0.98459211
1 "Sitting" -0.98468285
1 "Sitting" -0.99558745
1 "Sitting" -0.99697793
1 "Sitting" -0.99686442
1 "Sitting" -0.99487181
1 "Sitting" -0.97745396
1 "Sitting" -0.9932938
1 "Sitting" -0.99533895
1 "Sitting" -0.99581539
1 "Sitting" -0.99537265
1 "Sitting" -0.9960174
1 "Sitting" -0.99638461
1 "Sitting" -0.99606325
1 "Sitting" -0.99671786
1 "Sitting" -0.99570103
1 "Sitting" -0.9943061
1 "Sitting" -0.99572842
1 "Standing" -0.98196657
1 "Standing" -0.99666202
1 "Standing" -0.99835245
1 "Standing" -0.85853561
1 "Standing" -0.84808876
1 "Standing" -0.9490345
1 "Standing" -0.99323089
1 "Standing" -0.99735654
1 "Standing" -0.99681566
1 "Standing" -0.99532203
1 "Standing" -0.99451645
1 "Standing" -0.99244534
1 "Standing" -0.99635394
1 "Standing" -0.99621464
1 "Standing" -0.99763961
1 "Standing" -0.99685086
1 "Standing" -0.99562988
1 "Standing" -0.99499468
1 "Standing" -0.99520402
1 "Standing" -0.99565428
1 "Standing" -0.99507334
1 "Standing" -0.99436845
1 "Standing" -0.99471796
1 "Standing" -0.99513623
1 "Standing" -0.9938894
1 "Standing" -0.99646679
1 "Standing" -0.99675998
1 "Standing" -0.99683937
1 "Standing" -0.99710442
1 "Standing" -0.99748567
