"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.91323596
1 "Lying" -0.96706455
1 "Lying" -0.98358657
1 "Lying" -0.99609593
1 "Lying" -0.99768275
1 "Lying" -0.99710709
1 "Lying" -0.99628262
1 "Lying" -0.99751716
1 "Lying" -0.99831826
1 "Lying" -0.99833248
1 "Lying" -0.99763937
1 "Lying" -0.99708592
1 "Lying" -0.99757293
1 "Lying" -0.89419099
1 "Lying" -0.9419093
1 "Lying" -0.6000251
1 "Lying" -0.58524287
1 "Lying" -0.86174745
1 "Lying" -0.58592494
1 "Lying" -0.36588267
1 "Lying" -0.32823776
1 "Lying" -0.780797
1 "Lying" -0.9689411
1 "Lying" -0.96880623
1 "Lying" -0.98147828
1 "Lying" -0.98859151
1 "Lying" -0.99528381
1 "Lying" -0.93498254
1 "Lying" -0.9528179
1 "Lying" -0.97925768
1 "Lying" -0.99247885
1 "Lying" -0.99681363
1 "Lying" -0.99659485
1 "Lying" -0.99545137
1 "Lying" -0.99724135
1 "Lying" -0.99653186
1 "Lying" -0.99657939
1 "Lying" -0.99757931
1 "Lying" -0.99745035
1 "Lying" -0.37080306
1 "Lying" -0.63993079
1 "Lying" -0.88729626
1 "Lying" -0.92260818
1 "Lying" -0.91749067
1 "Lying" -0.9744777
1 "Lying" -0.98650307
1 "Lying" -0.99160516
1 "Lying" -0.97027913
1 "Lying" -0.96156718
1 "Lying" -0.97787586
1 "Sitting" -0.98527621
1 "Sitting" -0.9868687
1 "Sitting" -0.98600871
1 "Sitting" -0.99034428
1 "Sitting" -0.98870621
1 "Sitting" -0.98761046
1 "Sitting" -0.98641846
1 "Sitting" -0.987133
1 "Sitting" -0.98956114
1 "Sitting" -0.98347204
1 "Sitting" -0.98339599
1 "Sitting" -0.99546572
1 "Sitting" -0.99732704
1 "Sitting" -0.99756115
1 "Sitting" -0.94660894
1 "Sitting" -0.97485547
1 "Sitting" -0.98515014
1 "Sitting" -0.98885181
1 "Sitting" -0.9952762
1 "Sitting" -0.99754038
1 "Sitting" -0.99847922
1 "Sitting" -0.99818618
1 "Sitting" -0.99777478
1 "Sitting" -0.99791113
1 "Sitting" -0.99660109
1 "Sitting" -0.99557644
1 "Sitting" -0.99583117
1 "Sitting" -0.94691611
1 "Sitting" -0.97095456
1 "Sitting" -0.97764922
1 "Sitting" -0.96326737
1 "Sitting" -0.96198658
1 "Sitting" -0.97201344
1 "Sitting" -0.98791446
1 "Sitting" -0.99489975
1 "Sitting" -0.99035487
1 "Sitting" -0.99096914
1 "Sitting" -0.99594361
1 "Sitting" -0.99479621
1 "Sitting" -0.98773306
1 "Sitting" -0.97728427
1 "Sitting" -0.93924212
1 "Sitting" -0.97891829
1 "Sitting" -0.9861448
1 "Sitting" -0.99050029
1 "Sitting" -0.99286966
1 "Sitting" -0.99463302
1 "Sitting" -0.99505772
1 "Sitting" -0.99639103
1 "Sitting" -0.99678604
1 "Sitting" -0.9948534
1 "Sitting" -0.99433544
1 "Sitting" -0.99373228
1 "Standing" -0.95086318
1 "Standing" -0.98431439
1 "Standing" -0.98451413
1 "Standing" -0.68656131
1 "Standing" -0.69871548
1 "Standing" -0.8682099
1 "Standing" -0.98240607
1 "Standing" -0.99177612
1 "Standing" -0.99360889
1 "Standing" -0.99521176
1 "Standing" -0.99655693
1 "Standing" -0.93946923
1 "Standing" -0.93522467
1 "Standing" -0.96132578
1 "Standing" -0.98650795
1 "Standing" -0.99226098
1 "Standing" -0.996405
1 "Standing" -0.99449346
1 "Standing" -0.99536908
1 "Standing" -0.99583165
1 "Standing" -0.99616471
1 "Standing" -0.99574056
1 "Standing" -0.99543669
1 "Standing" -0.99459857
1 "Standing" -0.97136458
1 "Standing" -0.97062129
1 "Standing" -0.98032067
1 "Standing" -0.99081584
1 "Standing" -0.99668442
1 "Standing" -0.99806279
1 "Standing" -0.99848036
1 "Standing" -0.99797423
1 "Standing" -0.99742874
1 "Standing" -0.99807725
1 "Standing" -0.99791731
1 "Standing" -0.93521734
1 "Standing" -0.94463979
1 "Standing" -0.96058038
1 "Standing" -0.98036874
1 "Standing" -0.99335807
1 "Standing" -0.99612502
1 "Standing" -0.99653545
1 "Standing" -0.99560152
1 "Standing" -0.99727399
1 "Standing" -0.99630178
1 "Standing" -0.99629922
1 "Standing" -0.96639051
1 "Walking" -0.16726456
1 "Walking" -0.19730551
1 "Walking" -0.19108779
1 "Walking" -0.025322004
1 "Walking" -0.061992113
1 "Walking" -0.1585757
1 "Walking" -0.21335414
1 "Walking" -0.1550328
1 "Walking" -0.25882146
1 "Walking" -0.19659175
1 "Walking" -0.25530207
1 "Walking" -0.15946978
1 "Walking" -0.1792169
1 "Walking" -0.12610439
1 "Walking" -0.17707154
1 "Walking" -0.1782862
1 "Walking" -0.14740488
1 "Walking" -0.075914054
1 "Walking" -0.060221567
1 "Walking" -0.13986413
1 "Walking" -0.084410713
1 "Walking" -0.20180647
1 "Walking" -0.17666168
1 "Walking" -0.053159358
1 "Walking" -0.045922958
1 "Walking" -0.10448135
1 "Walking" -0.14665999
1 "Walking" -0.23597704
1 "Walking" -0.1876899
1 "Walking" -0.18615045
1 "Walking" -0.14471318
1 "Walking" -0.11991229
1 "Walking" -0.14701153
1 "Walking" -0.12415051
1 "Walking" -0.22118561
1 "Walking" -0.17646201
1 "Walking" -0.15603142
1 "Walking" -0.14508902
1 "Walking" -0.13685103
1 "Walking" -0.23017782
1 "Walking" -0.21747891
1 "Walking" -0.25575908
1 "Walking" -0.24138905
1 "Walking" -0.14592488
1 "Walking" -0.075412986
1 "Walking" -0.11487655
1 "Walking" -0.18160043
1 "Walking" -0.33323266
1 "Walking" -0.29424117
1 "Walking" -0.2752557
1 "Walking" -0.23562248
1 "Walking" -0.19974718
1 "Walking" -0.21975137
1 "Walking" -0.20720641
1 "Walking" -0.23753845
1 "Walking" -0.19985723
1 "Walking" -0.16882853
1 "Walking" -0.18991912
1 "Walking" -0.26121116
1 "Walking" -0.23246164
1 "Walking" -0.2034074
1 "Walking" -0.25038734
1 "Walking" -0.21459799
1 "Walking" -0.16999314
1 "Walking" -0.19765635
1 "Walking" -0.21881731
1 "Walking" -0.042684661
1 "Walking" -0.036067676
1 "Walking" -0.0097203255
1 "Walking" -0.090469263
1 "Walking" -0.12064513
1 "Walking" -0.097806025
1 "Walking" -0.13269252
1 "Walking" -0.16271037
1 "Walking" -0.21498945
1 "Walking" -0.21988506
1 "Walking" -0.17588315
1 "Walking" -0.16655901
1 "Walking" -0.2511264
1 "Walking" -0.23770963
1 "Walking" -0.26114309
1 "Walking" -0.20906417
1 "Walking" -0.20018151
1 "Walking" -0.18626252
1 "Walking" -0.23572417
1 "Walking" -0.20841535
1 "Walking" -0.16461861
1 "Walking" -0.0984224
1 "Walking" -0.075736238
1 "Walking" -0.10777945
1 "Walking" -0.13917087
1 "Walking" -0.065470622
1 "Walking" -0.031055088
1 "Walking" -0.14638987
1 "Walking" -0.16451833
1 "Walking Down Stairs" -0.33367963
1 "Walking Down Stairs" -0.26225298
1 "Walking Down Stairs" -0.048264612
1 "Walking Down Stairs" -0.095061293
1 "Walking Down Stairs" -0.22170842
1 "Walking Down Stairs" -0.046506569
1 "Walking Down Stairs" 0.0071506052
1 "Walking Down Stairs" -0.29025727
1 "Walking Down Stairs" -0.25228844
1 "Walking Down Stairs" -0.019051427
1 "Walking Down Stairs" -0.077956754
1 "Walking Down Stairs" 0.058782358
1 "Walking Down Stairs" 0.13231976
1 "Walking Down Stairs" 0.14155099
1 "Walking Down Stairs" 0.032042974
1 "Walking Down Stairs" 0.080600315
1 "Walking Down Stairs" -0.2112587
1 "Walking Down Stairs" -0.18327244
1 "Walking Down Stairs" -0.13715305
1 "Walking Down Stairs" 0.024488104
1 "Walking Down Stairs" 0.15623029
1 "Walking Down Stairs" -0.011055064
1 "Walking Down Stairs" -0.11186087
1 "Walking Down Stairs" -0.16266117
1 "Walking Down Stairs" -0.27175378
1 "Walking Down Stairs" -0.36084606
1 "Walking Down Stairs" -0.25724343
1 "Walking Down Stairs" 0.019477687
1 "Walking Down Stairs" 0.12015283
1 "Walking Down Stairs" -0.0080447715
1 "Walking Down Stairs" -0.18316122
1 "Walking Down Stairs" -0.23669413
1 "Walking Down Stairs" -0.25715414
1 "Walking Down Stairs" -0.19347702
1 "Walking Down Stairs" -0.074382895
1 "Walking Down Stairs" -0.012021497
1 "Walking Down Stairs" -0.1553509
1 "Walking Down Stairs" -0.090266035
1 "Walking Down Stairs" -0.0057236421
1 "Walking Down Stairs" -0.15495042
1 "Walking Down Stairs" -0.26926505
1 "Walking Down Stairs" -0.035813774
1 "Walking Down Stairs" 0.059757501
1 "Walking Down Stairs" -0.17108285
1 "Walking Down Stairs" -0.12139115
1 "Walking Down Stairs" 0.02101519
1 "Walking Down Stairs" 0.04620389
1 "Walking Down Stairs" -0.1355451
1 "Walking Down Stairs" -0.19493934
1 "Walking Up Stairs" -0.40666653
1 "Walking Up Stairs" -0.43530954
1 "Walking Up Stairs" -0.31152314
1 "Walking Up Stairs" -0.21402334
1 "Walking Up Stairs" -0.31858093
1 "Walking Up Stairs" -0.32226941
1 "Walking Up Stairs" -0.34626859
1 "Walking Up Stairs" -0.4265437
1 "Walking Up Stairs" -0.41554051
1 "Walking Up Stairs" -0.3999163
1 "Walking Up Stairs" -0.25229956
1 "Walking Up Stairs" -0.24461217
1 "Walking Up Stairs" -0.39811899
1 "Walking Up Stairs" -0.40017605
1 "Walking Up Stairs" -0.40667604
1 "Walking Up Stairs" -0.49894119
1 "Walking Up Stairs" -0.4974887
1 "Walking Up Stairs" -0.4842957
1 "Walking Up Stairs" -0.46782373
1 "Walking Up Stairs" -0.30719086
1 "Walking Up Stairs" -0.22906575
1 "Walking Up Stairs" -0.42590267
1 "Walking Up Stairs" -0.41263514
1 "Walking Up Stairs" -0.32445044
1 "Walking Up Stairs" -0.51724111
1 "Walking Up Stairs" -0.4240041
1 "Walking Up Stairs" -0.44207507
1 "Walking Up Stairs" -0.44346426
1 "Walking Up Stairs" -0.22017217
1 "Walking Up Stairs" -0.23974126
1 "Walking Up Stairs" -0.31193504
1 "Walking Up Stairs" -0.32618827
1 "Walking Up Stairs" -0.31452511
1 "Walking Up Stairs" -0.41465398
1 "Walking Up Stairs" -0.40103053
1 "Walking Up Stairs" -0.47641871
1 "Walking Up Stairs" -0.46490947
1 "Walking Up Stairs" -0.28009573
1 "Walking Up Stairs" -0.14308966
1 "Walking Up Stairs" -0.33444113
1 "Walking Up Stairs" -0.30659167
1 "Walking Up Stairs" -0.28689389
1 "Walking Up Stairs" -0.40436427
1 "Walking Up Stairs" -0.45957955
1 "Walking Up Stairs" -0.49849049
1 "Walking Up Stairs" -0.49257152
1 "Walking Up Stairs" -0.28492181
1 "Walking Up Stairs" -0.24520789
1 "Walking Up Stairs" -0.44183403
1 "Walking Up Stairs" -0.38171046
1 "Walking Up Stairs" -0.30295965
1 "Walking Up Stairs" -0.43257347
1 "Walking Up Stairs" -0.42960025
2 "Lying" -0.91370576
2 "Lying" -0.96016011
2 "Lying" -0.98149961
2 "Lying" -0.99301079
2 "Lying" -0.99594147
2 "Lying" -0.99700882
2 "Lying" -0.99695436
2 "Lying" -0.99686802
2 "Lying" -0.99477051
2 "Lying" -0.99506467
2 "Lying" -0.99299143
2 "Lying" -0.89687581
2 "Lying" -0.93065692
2 "Lying" -0.96394601
2 "Lying" -0.97590075
2 "Lying" -0.99026622
2 "Lying" -0.9900653
2 "Lying" -0.99274352
2 "Lying" -0.99270003
2 "Lying" -0.99079171
2 "Lying" -0.98918578
2 "Lying" -0.99040405
2 "Lying" -0.990795
2 "Lying" -0.99282932
2 "Lying" -0.91502001
2 "Lying" -0.94729003
2 "Lying" -0.96650921
2 "Lying" -0.98311392
2 "Lying" -0.98886068
2 "Lying" -0.99082116
2 "Lying" -0.98914239
2 "Lying" -0.98843724
2 "Lying" -0.99489452
2 "Lying" -0.99617262
2 "Lying" -0.99492673
2 "Lying" -0.91665185
2 "Lying" -0.95532398
2 "Lying" -0.97948592
2 "Lying" -0.98651986
2 "Lying" -0.98812202
2 "Lying" -0.99401066
2 "Lying" -0.99294722
2 "Lying" -0.9935283
2 "Lying" -0.99341833
2 "Lying" -0.99270149
2 "Lying" -0.99411625
2 "Lying" -0.99425357
2 "Lying" -0.97310976
2 "Sitting" -0.82847203
2 "Sitting" -0.93129537
2 "Sitting" -0.97560772
2 "Sitting" -0.97405883
2 "Sitting" -0.97592601
2 "Sitting" -0.97512472
2 "Sitting" -0.9839603
2 "Sitting" -0.99163458
2 "Sitting" -0.99555979
2 "Sitting" -0.99376227
2 "Sitting" -0.99282304
2 "Sitting" -0.99432775
2 "Sitting" -0.99468987
2 "Sitting" -0.99003189
2 "Sitting" -0.98924551
2 "Sitting" -0.89560906
2 "Sitting" -0.97138183
2 "Sitting" -0.98427447
2 "Sitting" -0.98711891
2 "Sitting" -0.94745334
2 "Sitting" -0.93803256
2 "Sitting" -0.90162168
2 "Sitting" -0.82595034
2 "Sitting" -0.84896761
2 "Sitting" -0.96908977
2 "Sitting" -0.9788655
2 "Sitting" -0.98240053
2 "Sitting" -0.98661044
2 "Sitting" -0.98938555
2 "Sitting" -0.9920077
2 "Sitting" -0.97786057
2 "Sitting" -0.86554572
2 "Sitting" -0.94315338
2 "Sitting" -0.97640949
2 "Sitting" -0.98084039
2 "Sitting" -0.98059058
2 "Sitting" -0.97869611
2 "Sitting" -0.9849643
2 "Sitting" -0.99025504
2 "Sitting" -0.99122846
2 "Sitting" -0.98662721
2 "Sitting" -0.9811408
2 "Sitting" -0.9644233
2 "Sitting" -0.98669968
2 "Sitting" -0.98370903
2 "Sitting" -0.98421716
2 "Sitting" -0.99146244
2 "Sitting" -0.99273123
2 "Sitting" -0.98473957
2 "Sitting" -0.98385343
2 "Sitting" -0.98696485
2 "Sitting" -0.99030272
2 "Sitting" -0.98918412
2 "Sitting" -0.95351843
2 "Standing" -0.95409117
2 "Standing" -0.98880094
2 "Standing" -0.99172449
2 "Standing" -0.98731104
2 "Standing" -0.97996361
2 "Standing" -0.98571603
2 "Standing" -0.98754777
2 "Standing" -0.99139626
2 "Standing" -0.99247027
2 "Standing" -0.99330156
2 "Standing" -0.9894116
2 "Standing" -0.98587605
2 "Standing" -0.98763119
2 "Standing" -0.92052944
2 "Standing" -0.93240606
2 "Standing" -0.96684223
2 "Standing" -0.98269195
2 "Standing" -0.96906762
2 "Standing" -0.96561842
2 "Standing" -0.98115097
2 "Standing" -0.98809096
2 "Standing" -0.99425927
2 "Standing" -0.99511576
2 "Standing" -0.98928162
2 "Standing" -0.94410508
2 "Standing" -0.9634869
2 "Standing" -0.98431827
2 "Standing" -0.98632821
2 "Standing" -0.97747749
2 "Standing" -0.97488107
2 "Standing" -0.98373326
2 "Standing" -0.99649327
2 "Standing" -0.99492039
2 "Standing" -0.98541826
2 "Standing" -0.97839254
2 "Standing" -0.93204281
2 "Standing" -0.93445217
2 "Standing" -0.9361732
2 "Standing" -0.96080415
2 "Standing" -0.98017602
2 "Standing" -0.98844103
2 "Standing" -0.99033935
2 "Standing" -0.98934473
2 "Standing" -0.98543598
2 "Standing" -0.98390874
2 "Standing" -0.98289025
2 "Walking" -0.48770231
2 "Walking" -0.49023672
2 "Walking" -0.45402104
2 "Walking" -0.51475622
2 "Walking" -0.52504084
2 "Walking" -0.50985056
2 "Walking" -0.51682847
2 "Walking" -0.49744981
2 "Walking" -0.49024724
2 "Walking" -0.51174622
2 "Walking" -0.47220235
2 "Walking" -0.45109124
2 "Walking" -0.43326821
2 "Walking" -0.47242248
2 "Walking" -0.51035775
2 "Walking" -0.526575
2 "Walking" -0.50489439
2 "Walking" -0.47350058
2 "Walking" -0.48359135
2 "Walking" -0.51832821
2 "Walking" -0.48373518
2 "Walking" -0.49583681
2 "Walking" -0.48313309
2 "Walking" -0.48216742
2 "Walking" -0.47516796
2 "Walking" -0.52353406
2 "Walking" -0.53061741
2 "Walking" -0.49660421
2 "Walking" -0.51100682
2 "Walking" -0.52780568
2 "Walking" -0.41469843
2 "Walking" -0.32340142
2 "Walking" -0.34691042
2 "Walking" -0.43500877
2 "Walking" -0.47805806
2 "Walking" -0.44696706
2 "Walking" -0.43408746
2 "Walking" -0.45125954
2 "Walking" -0.40148902
