"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.97359459
1 "Lying" -0.99525191
1 "Lying" -0.99948723
1 "Lying" -0.99978804
1 "Lying" -0.9998326
1 "Lying" -0.99989305
1 "Lying" -0.99993957
1 "Lying" -0.99997648
1 "Lying" -0.9999825
1 "Lying" -0.99998454
1 "Lying" -0.99998243
1 "Lying" -0.99997858
1 "Lying" -0.99997534
1 "Lying" -0.92815873
1 "Lying" -0.9698966
1 "Lying" -0.85026918
1 "Lying" -0.83666585
1 "Lying" -0.97502951
1 "Lying" -0.92390692
1 "Lying" -0.63776232
1 "Lying" -0.682044
1 "Lying" -0.95867728
1 "Lying" -0.97979336
1 "Lying" -0.99205788
1 "Lying" -0.99827629
1 "Lying" -0.99982033
1 "Lying" -0.99993408
1 "Lying" -0.96624686
1 "Lying" -0.99214735
1 "Lying" -0.99919417
1 "Lying" -0.99979789
1 "Lying" -0.9997827
1 "Lying" -0.99986851
1 "Lying" -0.99991515
1 "Lying" -0.99996443
1 "Lying" -0.99996228
1 "Lying" -0.99996515
1 "Lying" -0.99997297
1 "Lying" -0.99997271
1 "Lying" -0.70410966
1 "Lying" -0.93083433
1 "Lying" -0.98129746
1 "Lying" -0.97917959
1 "Lying" -0.99129919
1 "Lying" -0.99928508
1 "Lying" -0.99951204
1 "Lying" -0.99971047
1 "Lying" -0.99592357
1 "Lying" -0.9952337
1 "Lying" -0.99854365
1 "Sitting" -0.99928646
1 "Sitting" -0.99972466
1 "Sitting" -0.99964058
1 "Sitting" -0.99976785
1 "Sitting" -0.99982937
1 "Sitting" -0.99982969
1 "Sitting" -0.99981515
1 "Sitting" -0.99980905
1 "Sitting" -0.99989556
1 "Sitting" -0.99977573
1 "Sitting" -0.99978752
1 "Sitting" -0.99995964
1 "Sitting" -0.99997812
1 "Sitting" -0.99998799
1 "Sitting" -0.98681145
1 "Sitting" -0.99693164
1 "Sitting" -0.99951984
1 "Sitting" -0.99974262
1 "Sitting" -0.99989367
1 "Sitting" -0.99995176
1 "Sitting" -0.99998467
1 "Sitting" -0.99998452
1 "Sitting" -0.9999871
1 "Sitting" -0.99998525
1 "Sitting" -0.99997381
1 "Sitting" -0.99996854
1 "Sitting" -0.99997194
1 "Sitting" -0.99195548
1 "Sitting" -0.99846648
1 "Sitting" -0.9992147
1 "Sitting" -0.99857188
1 "Sitting" -0.99835961
1 "Sitting" -0.99941815
1 "Sitting" -0.99986415
1 "Sitting" -0.99993906
