"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.73946212
1 "Lying" -0.87474847
1 "Lying" -0.97340509
1 "Lying" -0.99193208
1 "Lying" -0.99379076
1 "Lying" -0.99586562
1 "Lying" -0.98978884
1 "Lying" -0.99823927
1 "Lying" -0.99723291
1 "Lying" -0.99779447
1 "Lying" -0.99875814
1 "Lying" -0.99818248
1 "Lying" -0.99681699
1 "Lying" -0.86829062
1 "Lying" -0.79465773
1 "Lying" -0.60317325
1 "Lying" -0.64137356
1 "Lying" -0.74923175
1 "Lying" -0.62610985
1 "Lying" -0.45562801
1 "Lying" -0.44790095
1 "Lying" -0.86615968
1 "Lying" -0.86576726
1 "Lying" -0.88769224
1 "Lying" -0.90565815
1 "Lying" -0.98902064
1 "Lying" -0.99041333
1 "Lying" -0.73267074
1 "Lying" -0.82759858
1 "Lying" -0.95395506
1 "Lying" -0.98466134
1 "Lying" -0.98875544
1 "Lying" -0.99722378
1 "Lying" -0.99386126
1 "Lying" -0.99446573
1 "Lying" -0.99340678
1 "Lying" -0.99348193
1 "Lying" -0.99570679
1 "Lying" -0.99609633
1 "Lying" -0.37439271
1 "Lying" -0.80670111
1 "Lying" -0.86292868
1 "Lying" -0.79313101
1 "Lying" -0.8740116
1 "Lying" -0.96902496
1 "Lying" -0.96718331
1 "Lying" -0.97953366
1 "Lying" -0.84460315
1 "Lying" -0.9031969
1 "Lying" -0.96016049
1 "Sitting" -0.94976582
1 "Sitting" -0.98285681
1 "Sitting" -0.98345446
1 "Sitting" -0.98396601
1 "Sitting" -0.99233802
1 "Sitting" -0.98927834
1 "Sitting" -0.97961513
1 "Sitting" -0.98739555
1 "Sitting" -0.98973754
1 "Sitting" -0.97717243
1 "Sitting" -0.97894667
1 "Sitting" -0.9970525
1 "Sitting" -0.99678567
1 "Sitting" -0.99840547
1 "Sitting" -0.87872963
1 "Sitting" -0.89493338
1 "Sitting" -0.98809132
1 "Sitting" -0.98475586
1 "Sitting" -0.99446184
1 "Sitting" -0.99421605
1 "Sitting" -0.99866475
1 "Sitting" -0.99838607
1 "Sitting" -0.99760164
1 "Sitting" -0.99688808
1 "Sitting" -0.99599592
1 "Sitting" -0.99687599
1 "Sitting" -0.99607485
1 "Sitting" -0.86115114
1 "Sitting" -0.96274731
