"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.71311737
1 "Lying" -0.95398122
1 "Lying" -0.9612347
1 "Lying" -0.9612347
1 "Lying" -0.96877685
1 "Lying" -0.98288405
1 "Lying" -0.99079543
1 "Lying" -0.99374856
1 "Lying" -0.99374856
1 "Lying" -0.99459752
1 "Lying" -0.99459752
1 "Lying" -0.99058837
1 "Lying" -0.99746642
1 "Lying" -0.14341513
1 "Lying" -0.64873824
1 "Lying" -0.64873824
1 "Lying" -0.807026
1 "Lying" -0.98427857
1 "Lying" -0.98427857
1 "Lying" -0.89866955
1 "Lying" -0.89866955
1 "Lying" -0.84577603
1 "Lying" -0.60107184
1 "Lying" -0.83003252
1 "Lying" -0.98916465
1 "Lying" -0.99452367
1 "Lying" -0.99452367
1 "Lying" -0.66736606
1 "Lying" -0.9235044
1 "Lying" -0.98923317
1 "Lying" -0.98923317
1 "Lying" -0.96233173
1 "Lying" -0.96233173
1 "Lying" -0.99730615
1 "Lying" -0.99730615
1 "Lying" -0.99401337
1 "Lying" -0.99760364
1 "Lying" -0.99760364
1 "Lying" -0.99513301
1 "Lying" -0.85556667
1 "Lying" -0.78335852
1 "Lying" -0.872013
1 "Lying" -0.97741263
1 "Lying" -0.97807577
1 "Lying" -0.98723827
1 "Lying" -0.98723827
1 "Lying" -0.98571978
1 "Lying" -0.98187809
1 "Lying" -0.89143868
1 "Lying" -0.94531431
1 "Sitting" -0.99155366
1 "Sitting" -0.99155366
1 "Sitting" -0.96619294
1 "Sitting" -0.98168559
1 "Sitting" -0.98168559
1 "Sitting" -0.9903605
1 "Sitting" -0.99317783
1 "Sitting" -0.99317783
1 "Sitting" -0.99193469
1 "Sitting" -0.99193469
1 "Sitting" -0.99001058
1 "Sitting" -0.99348434
1 "Sitting" -0.99695083
1 "Sitting" -0.99737277
1 "Sitting" -0.7456001
1 "Sitting" -0.94896306
1 "Sitting" -0.94896306
1 "Sitting" -0.97867569
