"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.73333333
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.6
1 "Lying" -0.4
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.6
1 "Lying" -0.33333333
1 "Lying" -1
1 "Lying" -0.4
1 "Lying" -0.93333333
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.8
1 "Lying" -0.93333333
1 "Lying" -0.93333333
1 "Lying" -0.93333333
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.6
1 "Lying" -0.66666667
1 "Lying" -1
1 "Lying" -0.4
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.73333333
1 "Lying" -0.4
1 "Lying" -0.86666667
1 "Lying" -0.93333333
1 "Lying" -0.93333333
1 "Lying" -0.93333333
1 "Lying" -0.93333333
1 "Lying" -0.8
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.93333333
1 "Sitting" -1
1 "Sitting" -0.86666667
1 "Sitting" -1
1 "Sitting" -0.53333333
1 "Sitting" -1
1 "Sitting" -0.8
1 "Sitting" -1
1 "Sitting" -0.8
1 "Sitting" -0.86666667
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.8
1 "Sitting" -0.8
1 "Sitting" -1
1 "Sitting" -0.53333333
1 "Sitting" -0.86666667
1 "Sitting" -0.93333333
1 "Sitting" -1
1 "Sitting" -0.86666667
1 "Sitting" -1
1 "Sitting" -0.86666667
1 "Sitting" -0.73333333
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.93333333
1 "Sitting" -0.86666667
1 "Sitting" -0.86666667
1 "Sitting" -0.93333333
1 "Sitting" -0.93333333
1 "Sitting" -0.93333333
1 "Sitting" -0.93333333
1 "Sitting" -0.86666667
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.86666667
1 "Sitting" -1
1 "Sitting" -0.86666667
1 "Sitting" -0.86666667
1 "Sitting" -0.86666667
1 "Sitting" -1
1 "Sitting" -0.86666667
1 "Sitting" -0.93333333
1 "Sitting" -0.93333333
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.93333333
1 "Standing" -0.93333333
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.2
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.8
1 "Standing" -1
1 "Standing" -0.93333333
1 "Standing" -1
1 "Standing" -0.86666667
1 "Standing" -0.66666667
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.93333333
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.13333333
1 "Standing" 0.066666667
1 "Standing" -1
1 "Standing" -0.33333333
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.93333333
1 "Standing" -1
1 "Standing" -0.66666667
1 "Standing" -0.86666667
1 "Walking" -1
1 "Walking" -0.26666667
1 "Walking" -0.93333333
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.33333333
1 "Walking" -0.33333333
1 "Walking" -0.33333333
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.33333333
1 "Walking" -0.33333333
1 "Walking" -0.33333333
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.33333333
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.33333333
1 "Walking" -0.33333333
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.26666667
1 "Walking" -0.33333333
1 "Walking" -0.33333333
1 "Walking" -0.33333333
1 "Walking" -0.33333333
1 "Walking" -0.33333333
