"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.8269258
1 "Lying" -0.90376163
1 "Lying" -0.94997858
1 "Lying" -0.98868656
1 "Lying" -0.99457862
1 "Lying" -0.99754837
1 "Lying" -0.9839811
1 "Lying" -0.99366474
1 "Lying" -0.99213831
1 "Lying" -0.99362057
1 "Lying" -0.99467647
1 "Lying" -0.993074
1 "Lying" -0.99174292
1 "Lying" -0.9208822
1 "Lying" -0.88106626
1 "Lying" -0.64825886
1 "Lying" -0.71609442
1 "Lying" -0.95569678
1 "Lying" -0.77469222
1 "Lying" -0.74603092
1 "Lying" -0.86769246
1 "Lying" -0.9371657
1 "Lying" -0.97101989
1 "Lying" -0.97415808
1 "Lying" -0.9814718
1 "Lying" -0.99297446
1 "Lying" -0.99625688
1 "Lying" -0.81632714
1 "Lying" -0.88645896
1 "Lying" -0.95020499
1 "Lying" -0.97948343
1 "Lying" -0.99205402
1 "Lying" -0.99847334
1 "Lying" -0.98838837
1 "Lying" -0.99750576
1 "Lying" -0.99588035
1 "Lying" -0.99481468
1 "Lying" -0.99567707
1 "Lying" -0.9965901
1 "Lying" -0.54939396
1 "Lying" -0.84907646
1 "Lying" -0.94619328
1 "Lying" -0.94681202
1 "Lying" -0.96720835
1 "Lying" -0.9857838
1 "Lying" -0.9863331
1 "Lying" -0.99271846
1 "Lying" -0.95016257
1 "Lying" -0.93321387
1 "Lying" -0.98754563
1 "Sitting" -0.99494426
1 "Sitting" -0.99015077
1 "Sitting" -0.991283
1 "Sitting" -0.99228069
1 "Sitting" -0.99144358
1 "Sitting" -0.98764433
1 "Sitting" -0.98668494
1 "Sitting" -0.98162021
1 "Sitting" -0.99318198
1 "Sitting" -0.99103107
1 "Sitting" -0.99253394
1 "Sitting" -0.99769321
1 "Sitting" -0.99586953
1 "Sitting" -0.99745927
1 "Sitting" -0.9308079
1 "Sitting" -0.93476675
1 "Sitting" -0.98189335
1 "Sitting" -0.98686421
1 "Sitting" -0.99743823
1 "Sitting" -0.99373084
1 "Sitting" -0.99947494
1 "Sitting" -0.99876926
1 "Sitting" -0.99487514
1 "Sitting" -0.99715343
1 "Sitting" -0.99467528
1 "Sitting" -0.9973407
1 "Sitting" -0.9986123
1 "Sitting" -0.90649751
1 "Sitting" -0.96405043
1 "Sitting" -0.9835364
1 "Sitting" -0.96366094
1 "Sitting" -0.95125931
1 "Sitting" -0.97828744
1 "Sitting" -0.99494571
1 "Sitting" -0.99807075
1 "Sitting" -0.99476554
1 "Sitting" -0.99381225
1 "Sitting" -0.99821612
1 "Sitting" -0.99533236
1 "Sitting" -0.99624272
1 "Sitting" -0.9940091
1 "Sitting" -0.92553147
1 "Sitting" -0.94896257
1 "Sitting" -0.97050668
1 "Sitting" -0.99374706
1 "Sitting" -0.99764569
1 "Sitting" -0.99300098
1 "Sitting" -0.99512425
1 "Sitting" -0.99378912
1 "Sitting" -0.99773331
1 "Sitting" -0.99611266
1 "Sitting" -0.99535263
1 "Sitting" -0.99655559
1 "Standing" -0.9469263
1 "Standing" -0.96841629
1 "Standing" -0.96950033
1 "Standing" -0.70789497
1 "Standing" -0.59394842
1 "Standing" -0.77393349
1 "Standing" -0.97840647
1 "Standing" -0.97693771
1 "Standing" -0.99008133
1 "Standing" -0.99120514
1 "Standing" -0.99771124
1 "Standing" -0.85825902
1 "Standing" -0.86012407
1 "Standing" -0.90883068
1 "Standing" -0.97652208
1 "Standing" -0.9846995
1 "Standing" -0.98493562
1 "Standing" -0.98341339
1 "Standing" -0.988425
1 "Standing" -0.98763385
1 "Standing" -0.99269352
1 "Standing" -0.98838428
1 "Standing" -0.98876669
1 "Standing" -0.98906128
1 "Standing" -0.95950488
1 "Standing" -0.92355617
1 "Standing" -0.95174613
1 "Standing" -0.97704571
1 "Standing" -0.98901201
1 "Standing" -0.99564315
1 "Standing" -0.99590349
1 "Standing" -0.99778445
1 "Standing" -0.99417115
1 "Standing" -0.99643517
1 "Standing" -0.99544053
1 "Standing" -0.8661395
1 "Standing" -0.8723323
1 "Standing" -0.90320583
1 "Standing" -0.95339435
1 "Standing" -0.98140387
1 "Standing" -0.99118893
1 "Standing" -0.99137219
1 "Standing" -0.9849414
1 "Standing" -0.99366586
1 "Standing" -0.98947536
1 "Standing" -0.99013174
1 "Standing" -0.98038509
1 "Walking" -0.73097849
1 "Walking" -0.59376402
1 "Walking" -0.55666749
1 "Walking" -0.48251084
1 "Walking" -0.51202107
1 "Walking" -0.53928172
1 "Walking" -0.50709703
1 "Walking" -0.52946453
1 "Walking" -0.70431485
1 "Walking" -0.60125589
1 "Walking" -0.52943959
1 "Walking" -0.52535071
1 "Walking" -0.54141373
1 "Walking" -0.5401774
1 "Walking" -0.51211155
1 "Walking" -0.49108962
1 "Walking" -0.49432125
1 "Walking" -0.49592375
1 "Walking" -0.63302161
1 "Walking" -0.60481174
1 "Walking" -0.45175926
1 "Walking" -0.5777148
1 "Walking" -0.49315846
1 "Walking" -0.55584487
1 "Walking" -0.48555096
1 "Walking" -0.5193692
1 "Walking" -0.54292493
1 "Walking" -0.57355986
1 "Walking" -0.53987533
1 "Walking" -0.53085135
1 "Walking" -0.50340405
1 "Walking" -0.57021409
1 "Walking" -0.53650569
1 "Walking" -0.41880375
1 "Walking" -0.49060808
1 "Walking" -0.46232508
1 "Walking" -0.51365998
1 "Walking" -0.54802107
1 "Walking" -0.51079208
1 "Walking" -0.54018352
1 "Walking" -0.57013208
1 "Walking" -0.58189805
1 "Walking" -0.61556559
1 "Walking" -0.57460033
1 "Walking" -0.58111132
1 "Walking" -0.55833458
1 "Walking" -0.65109139
1 "Walking" -0.6986577
1 "Walking" -0.68203618
1 "Walking" -0.72912562
1 "Walking" -0.7132375
1 "Walking" -0.74187675
1 "Walking" -0.67548474
