"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99051661
1 "Lying" -0.99166979
1 "Lying" -0.99027825
1 "Lying" -0.9973636
1 "Lying" -0.99845128
1 "Lying" -0.99870578
1 "Lying" -0.9994579
1 "Lying" -0.99970297
1 "Lying" -0.99906479
1 "Lying" -0.99901678
1 "Lying" -0.99954979
1 "Lying" -0.99950126
1 "Lying" -0.99911638
1 "Lying" -0.97679232
1 "Lying" -0.96292194
1 "Lying" -0.96349828
1 "Lying" -0.97374117
1 "Lying" -0.917541
1 "Lying" 0.31428418
1 "Lying" -0.85578125
1 "Lying" -0.55126485
1 "Lying" -0.59812243
1 "Lying" -0.99690011
1 "Lying" -0.96765985
1 "Lying" -0.97031792
1 "Lying" -0.98997951
1 "Lying" -0.99781463
1 "Lying" -0.99610352
1 "Lying" -0.96611973
1 "Lying" -0.98026015
1 "Lying" -0.99579796
1 "Lying" -0.99983698
1 "Lying" -0.99942213
1 "Lying" -0.99816436
1 "Lying" -0.99900811
1 "Lying" -0.99836025
1 "Lying" -0.99979127
1 "Lying" -0.99842731
1 "Lying" -0.99933741
1 "Lying" -0.82813387
1 "Lying" -0.70577739
1 "Lying" -0.77906832
1 "Lying" -0.99040144
1 "Lying" -0.80626051
1 "Lying" -0.9407728
1 "Lying" -0.99802357
1 "Lying" -0.99894562
1 "Lying" -0.99556592
1 "Lying" -0.97788935
1 "Lying" -0.97322491
1 "Sitting" -0.99756862
1 "Sitting" -0.98689184
1 "Sitting" -0.98831166
1 "Sitting" -0.98970064
1 "Sitting" -0.9937381
1 "Sitting" -0.99936094
1 "Sitting" -0.99997402
1 "Sitting" -0.99580286
1 "Sitting" -0.99940033
1 "Sitting" -0.99878888
1 "Sitting" -0.99783721
1 "Sitting" -0.99400214
1 "Sitting" -0.99774111
1 "Sitting" -0.99895652
1 "Sitting" -0.99351292
1 "Sitting" -0.99754283
1 "Sitting" -0.99361256
1 "Sitting" -0.99408138
1 "Sitting" -0.99758133
1 "Sitting" -0.99794426
1 "Sitting" -0.99691176
1 "Sitting" -0.99880035
1 "Sitting" -0.99968243
1 "Sitting" -0.99937702
1 "Sitting" -0.99822494
1 "Sitting" -0.99772958
1 "Sitting" -0.99748622
1 "Sitting" -0.99283272
1 "Sitting" -0.99784872
1 "Sitting" -0.98616
1 "Sitting" -0.98273734
1 "Sitting" -0.99851436
1 "Sitting" -0.97954861
1 "Sitting" -0.99964725
1 "Sitting" -0.99812551
1 "Sitting" -0.99875045
1 "Sitting" -0.99920939
1 "Sitting" -0.99868641
1 "Sitting" -0.99826815
1 "Sitting" -0.98610422
1 "Sitting" -0.97947706
1 "Sitting" -0.99775299
1 "Sitting" -0.98845794
1 "Sitting" -0.99596508
1 "Sitting" -0.99726608
1 "Sitting" -0.99834441
1 "Sitting" -0.99831287
1 "Sitting" -0.99857228
1 "Sitting" -0.99962312
1 "Sitting" -0.99769432
1 "Sitting" -0.99789164
1 "Sitting" -0.9976599
1 "Sitting" -0.99458804
1 "Standing" -0.99706082
1 "Standing" -0.99650135
1 "Standing" -0.99889037
1 "Standing" -0.90676825
1 "Standing" -0.99317894
1 "Standing" -0.86178746
1 "Standing" -0.99875654
1 "Standing" -0.99836819
1 "Standing" -0.99740719
1 "Standing" -0.99749619
1 "Standing" -0.99768319
1 "Standing" -0.98327867
1 "Standing" -0.92741875
1 "Standing" -0.94950968
1 "Standing" -0.98811985
1 "Standing" -0.9995808
1 "Standing" -0.99927875
1 "Standing" -0.99877286
1 "Standing" -0.99964655
1 "Standing" -0.99813247
1 "Standing" -0.9985684
1 "Standing" -0.99757862
1 "Standing" -0.99810483
1 "Standing" -0.99507188
1 "Standing" -0.99398675
1 "Standing" -0.99450458
1 "Standing" -0.99643723
1 "Standing" -0.99846542
1 "Standing" -0.99986105
1 "Standing" -0.99944064
1 "Standing" -0.99853027
1 "Standing" -0.99980735
1 "Standing" -0.99860252
1 "Standing" -0.99987668
1 "Standing" -0.99997289
1 "Standing" -0.86710276
1 "Standing" -0.94454446
1 "Standing" -0.95114715
1 "Standing" -0.98214875
1 "Standing" -0.99896791
1 "Standing" -0.99684926
1 "Standing" -0.99934636
1 "Standing" -0.99771303
1 "Standing" -0.99972511
1 "Standing" -0.9997403
1 "Standing" -0.99887411
1 "Standing" -0.98197481
1 "Walking" -0.9475466
1 "Walking" -0.53178024
1 "Walking" -0.99798644
1 "Walking" -0.93101504
1 "Walking" -0.97688321
1 "Walking" -0.69784882
1 "Walking" -0.8770048
1 "Walking" -0.89561167
1 "Walking" -0.93344367
1 "Walking" -0.80324405
1 "Walking" -0.95761788
1 "Walking" -0.98898262
1 "Walking" -0.95318522
1 "Walking" -0.96388664
1 "Walking" -0.98737668
1 "Walking" -0.99026871
1 "Walking" -0.86400514
1 "Walking" -0.84809306
1 "Walking" -0.84814523
1 "Walking" -0.85112341
1 "Walking" -0.7750271
1 "Walking" -0.97923907
1 "Walking" -0.92339708
1 "Walking" -0.75179529
1 "Walking" -0.4761027
1 "Walking" -0.71282681
1 "Walking" -0.69524278
1 "Walking" -0.88025584
1 "Walking" -0.79981538
1 "Walking" -0.97414396
1 "Walking" -0.73438628
1 "Walking" -0.9575636
1 "Walking" -0.70100475
1 "Walking" -0.79576415
1 "Walking" -0.93677804
1 "Walking" -0.95338517
1 "Walking" -0.8085172
1 "Walking" -0.83289765
1 "Walking" -0.88626977
1 "Walking" -0.91195624
1 "Walking" -0.88526904
1 "Walking" -0.99283361
1 "Walking" -0.9540613
1 "Walking" -0.90774999
1 "Walking" -0.90076366
1 "Walking" -0.79813029
1 "Walking" -0.78059809
1 "Walking" -0.95263544
1 "Walking" -0.87414424
1 "Walking" -0.96960209
1 "Walking" -0.84120131
1 "Walking" -0.98516731
1 "Walking" -0.72473642
1 "Walking" -0.94490629
1 "Walking" -0.93333382
1 "Walking" -0.88504793
1 "Walking" -0.97880401
1 "Walking" -0.76955299
1 "Walking" -0.90111789
1 "Walking" -0.89682267
1 "Walking" -0.87245949
1 "Walking" -0.96828948
1 "Walking" -0.96625763
1 "Walking" -0.92406137
1 "Walking" -0.9634214
1 "Walking" -0.97413034
1 "Walking" -0.90143673
1 "Walking" -0.98408537
1 "Walking" -0.84312477
1 "Walking" -0.89865206
1 "Walking" -0.98265932
1 "Walking" -0.90073118
1 "Walking" -0.94358569
1 "Walking" -0.83557454
1 "Walking" -0.9470819
1 "Walking" -0.9285645
1 "Walking" -0.90308336
1 "Walking" -0.95755171
1 "Walking" -0.95100897
1 "Walking" -0.80471313
1 "Walking" -0.94552897
1 "Walking" -0.88682317
1 "Walking" -0.96136871
1 "Walking" -0.93895439
1 "Walking" -0.93120531
1 "Walking" -0.95849443
1 "Walking" -0.90882294
1 "Walking" -0.80868845
1 "Walking" -0.89267181
1 "Walking" -0.93083294
1 "Walking" -0.9537224
1 "Walking" -0.8496327
1 "Walking" -0.95225268
1 "Walking" -0.88394699
1 "Walking" -0.94199591
1 "Walking Down Stairs" -0.93222369
1 "Walking Down Stairs" -0.98701524
1 "Walking Down Stairs" -0.68301139
1 "Walking Down Stairs" -0.845793
1 "Walking Down Stairs" -0.97918199
1 "Walking Down Stairs" -0.90074108
1 "Walking Down Stairs" -0.90272382
1 "Walking Down Stairs" -0.96608281
1 "Walking Down Stairs" -0.96565018
1 "Walking Down Stairs" -0.85915689
1 "Walking Down Stairs" -0.99290118
1 "Walking Down Stairs" -0.89529918
1 "Walking Down Stairs" -0.7418387
1 "Walking Down Stairs" -0.41715795
1 "Walking Down Stairs" -0.94514494
1 "Walking Down Stairs" 0.21088345
1 "Walking Down Stairs" -0.96952869
1 "Walking Down Stairs" -0.93789804
1 "Walking Down Stairs" -0.77280586
1 "Walking Down Stairs" -0.88646133
1 "Walking Down Stairs" -0.6287657
1 "Walking Down Stairs" -0.81290848
1 "Walking Down Stairs" -0.8011944
1 "Walking Down Stairs" -0.69968411
1 "Walking Down Stairs" -0.98815914
1 "Walking Down Stairs" -0.80918932
1 "Walking Down Stairs" -0.95171796
1 "Walking Down Stairs" -0.93251618
1 "Walking Down Stairs" -0.93677101
1 "Walking Down Stairs" -0.95950342
1 "Walking Down Stairs" -0.8762978
1 "Walking Down Stairs" -0.96801141
1 "Walking Down Stairs" -0.85250247
1 "Walking Down Stairs" -0.87993277
1 "Walking Down Stairs" -0.74467262
1 "Walking Down Stairs" -0.86111456
1 "Walking Down Stairs" -0.97305271
1 "Walking Down Stairs" -0.97268347
1 "Walking Down Stairs" -0.89052627
1 "Walking Down Stairs" -0.84119043
1 "Walking Down Stairs" -0.92015444
1 "Walking Down Stairs" -0.9658979
1 "Walking Down Stairs" -0.77490995
1 "Walking Down Stairs" -0.97286453
1 "Walking Down Stairs" -0.86439036
1 "Walking Down Stairs" -0.89085027
1 "Walking Down Stairs" -0.97684813
1 "Walking Down Stairs" -0.96122484
1 "Walking Down Stairs" -0.97849403
1 "Walking Up Stairs" -0.98153176
1 "Walking Up Stairs" -0.89526155
1 "Walking Up Stairs" -0.7111249
1 "Walking Up Stairs" -0.93309512
1 "Walking Up Stairs" -0.9014112
1 "Walking Up Stairs" -0.96760771
1 "Walking Up Stairs" -0.87390176
1 "Walking Up Stairs" -0.9217778
1 "Walking Up Stairs" -0.83233902
1 "Walking Up Stairs" -0.90982874
1 "Walking Up Stairs" -0.83842808
1 "Walking Up Stairs" -0.70847581
1 "Walking Up Stairs" -0.92080899
1 "Walking Up Stairs" -0.95914564
1 "Walking Up Stairs" -0.87643931
1 "Walking Up Stairs" -0.95721273
1 "Walking Up Stairs" -0.74209257
1 "Walking Up Stairs" -0.8770008
1 "Walking Up Stairs" -0.96671236
1 "Walking Up Stairs" -0.92731145
1 "Walking Up Stairs" -0.96237539
1 "Walking Up Stairs" -0.90846535
1 "Walking Up Stairs" -0.97271485
1 "Walking Up Stairs" -0.82799002
1 "Walking Up Stairs" -0.98640628
1 "Walking Up Stairs" -0.68359892
1 "Walking Up Stairs" -0.96640235
1 "Walking Up Stairs" -0.77625611
1 "Walking Up Stairs" -0.94062979
1 "Walking Up Stairs" -0.99382387
1 "Walking Up Stairs" -0.86934362
1 "Walking Up Stairs" -0.98758261
1 "Walking Up Stairs" -0.89632
1 "Walking Up Stairs" -0.9215657
1 "Walking Up Stairs" -0.88377348
1 "Walking Up Stairs" -0.93677664
1 "Walking Up Stairs" -0.94028843
1 "Walking Up Stairs" -0.98636879
1 "Walking Up Stairs" -0.60083365
1 "Walking Up Stairs" -0.98537897
1 "Walking Up Stairs" -0.86300441
1 "Walking Up Stairs" -0.84219964
1 "Walking Up Stairs" -0.95252851
1 "Walking Up Stairs" -0.89923214
1 "Walking Up Stairs" -0.8774816
1 "Walking Up Stairs" -0.87138066
1 "Walking Up Stairs" -0.98329279
1 "Walking Up Stairs" -0.95530939
1 "Walking Up Stairs" -0.99644947
1 "Walking Up Stairs" -0.93040296
1 "Walking Up Stairs" -0.92063194
1 "Walking Up Stairs" -0.9917664
1 "Walking Up Stairs" -0.92176713
2 "Lying" -0.97281878
2 "Lying" -0.99991607
2 "Lying" -0.99567485
2 "Lying" -0.99794572
2 "Lying" -0.99562343
2 "Lying" -0.99932737
2 "Lying" -0.99890304
2 "Lying" -0.99773574
2 "Lying" -0.9992683
2 "Lying" -0.99965597
2 "Lying" -0.99789365
2 "Lying" -0.90766839
2 "Lying" -0.9286214
2 "Lying" -0.97268628
2 "Lying" -0.99315385
2 "Lying" -0.99902212
2 "Lying" -0.99725898
2 "Lying" -0.99915906
2 "Lying" -0.99502884
2 "Lying" -0.99843359
2 "Lying" -0.99702917
2 "Lying" -0.99992172
2 "Lying" -0.9995351
2 "Lying" -0.99805373
2 "Lying" -0.99166768
2 "Lying" -0.99487031
2 "Lying" -0.99784497
2 "Lying" -0.99705402
2 "Lying" -0.99663457
2 "Lying" -0.99905995
2 "Lying" -0.99847695
2 "Lying" -0.9990193
2 "Lying" -0.99903001
2 "Lying" -0.99880605
2 "Lying" -0.99972864
2 "Lying" -0.98894722
2 "Lying" -0.96602585
2 "Lying" -0.99582467
2 "Lying" -0.9969459
2 "Lying" -0.99692389
2 "Lying" -0.99837893
2 "Lying" -0.99903953
2 "Lying" -0.99870436
2 "Lying" -0.99772954
2 "Lying" -0.99879952
2 "Lying" -0.99794427
2 "Lying" -0.99950822
2 "Lying" -0.99792863
2 "Sitting" -0.87859934
2 "Sitting" -0.98895963
2 "Sitting" -0.99940716
2 "Sitting" -0.9972096
2 "Sitting" -0.9980948
2 "Sitting" -0.99388694
2 "Sitting" -0.99962037
2 "Sitting" -0.99921645
2 "Sitting" -0.99926517
2 "Sitting" -0.99766423
2 "Sitting" -0.99874979
2 "Sitting" -0.99753072
2 "Sitting" -0.99809806
2 "Sitting" -0.99497581
2 "Sitting" -0.99780701
2 "Sitting" -0.79696722
2 "Sitting" -0.98865539
2 "Sitting" -0.9955661
2 "Sitting" -0.99693069
2 "Sitting" -0.98356564
2 "Sitting" -0.99834396
2 "Sitting" -0.98353301
2 "Sitting" -0.97934553
2 "Sitting" -0.98652357
2 "Sitting" -0.99610065
2 "Sitting" -0.9991232
2 "Sitting" -0.9970838
2 "Sitting" -0.99813655
2 "Sitting" -0.99859184
2 "Sitting" -0.9992874
2 "Sitting" -0.95086073
2 "Sitting" -0.96693422
2 "Sitting" -0.99351252
2 "Sitting" -0.99614798
2 "Sitting" -0.99486147
2 "Sitting" -0.99766531
2 "Sitting" -0.99882869
2 "Sitting" -0.99895018
2 "Sitting" -0.99776627
2 "Sitting" -0.99605031
2 "Sitting" -0.99524321
2 "Sitting" -0.99609751
2 "Sitting" -0.9931822
2 "Sitting" -0.9976368
2 "Sitting" -0.99960679
2 "Sitting" -0.99613527
2 "Sitting" -0.99996356
2 "Sitting" -0.9985055
2 "Sitting" -0.98368986
2 "Sitting" -0.99861025
2 "Sitting" -0.99106574
2 "Sitting" -0.99706871
2 "Sitting" -0.99920011
2 "Sitting" -0.94154579
2 "Standing" -0.9935262
2 "Standing" -0.99365865
2 "Standing" -0.99556742
2 "Standing" -0.99837677
2 "Standing" -0.99545025
2 "Standing" -0.99857756
2 "Standing" -0.99813679
2 "Standing" -0.9999345
2 "Standing" -0.99868759
2 "Standing" -0.99874834
2 "Standing" -0.99556804
2 "Standing" -0.99839377
2 "Standing" -0.9970176
2 "Standing" -0.99118201
2 "Standing" -0.93677776
2 "Standing" -0.93741731
2 "Standing" -0.98033979
2 "Standing" -0.99761817
2 "Standing" -0.9939282
2 "Standing" -0.99592425
2 "Standing" -0.99783586
2 "Standing" -0.99993109
2 "Standing" -0.99907792
2 "Standing" -0.99705312
2 "Standing" -0.98859273
2 "Standing" -0.98607986
2 "Standing" -0.99932859
2 "Standing" -0.99930617
2 "Standing" -0.99637791
2 "Standing" -0.99553322
2 "Standing" -0.99483582
2 "Standing" -0.99895177
2 "Standing" -0.99684714
2 "Standing" -0.99899003
2 "Standing" -0.99897456
2 "Standing" -0.9686633
2 "Standing" -0.95281216
2 "Standing" -0.95625631
2 "Standing" -0.99320377
