"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.7594027
1 "Lying" -0.82607092
1 "Lying" -0.92837268
1 "Lying" -0.99878492
1 "Lying" -0.99134423
1 "Lying" -0.98996352
1 "Lying" -0.99404833
1 "Lying" -0.99215684
1 "Lying" -0.99701773
1 "Lying" -0.99026479
1 "Lying" -0.99776703
1 "Lying" -0.99338157
1 "Lying" -0.99699097
1 "Lying" -0.98525857
1 "Lying" -0.85020113
1 "Lying" -0.98813351
1 "Lying" -0.99783537
1 "Lying" -0.84792095
1 "Lying" -0.85048544
1 "Lying" -0.95081732
1 "Lying" -0.95508213
1 "Lying" -0.99572648
1 "Lying" -0.99184173
1 "Lying" -0.99342138
1 "Lying" -0.99596596
1 "Lying" -0.98695358
1 "Lying" -0.99321923
1 "Lying" -0.73968283
1 "Lying" -0.82979173
1 "Lying" -0.95843345
1 "Lying" -0.98927986
1 "Lying" -0.99456435
1 "Lying" -0.99516658
1 "Lying" -0.99858597
1 "Lying" -0.9975541
1 "Lying" -0.99687232
1 "Lying" -0.99502504
1 "Lying" -0.99567077
1 "Lying" -0.99904312
1 "Lying" -0.76800186
1 "Lying" -0.90259649
1 "Lying" -0.99102525
1 "Lying" -0.95940605
1 "Lying" -0.97584742
1 "Lying" -0.99257696
1 "Lying" -0.99477462
1 "Lying" -0.99600739
1 "Lying" -0.98746179
1 "Lying" -0.9923211
1 "Lying" -0.9563956
1 "Sitting" -0.99433541
1 "Sitting" -0.99441373
1 "Sitting" -0.99363603
1 "Sitting" -0.9931436
1 "Sitting" -0.99483517
1 "Sitting" -0.98160068
1 "Sitting" -0.99330583
1 "Sitting" -0.99296719
1 "Sitting" -0.98705495
1 "Sitting" -0.98750732
1 "Sitting" -0.98620544
1 "Sitting" -0.99714963
1 "Sitting" -0.99832334
1 "Sitting" -0.99909269
1 "Sitting" -0.86794139
1 "Sitting" -0.94645167
1 "Sitting" -0.98895833
1 "Sitting" -0.99151522
1 "Sitting" -0.99978694
1 "Sitting" -0.99858059
1 "Sitting" -0.99723899
1 "Sitting" -0.99628925
1 "Sitting" -0.9949492
1 "Sitting" -0.99390959
1 "Sitting" -0.99919833
1 "Sitting" -0.9916076
1 "Sitting" -0.99953168
1 "Sitting" -0.88614094
1 "Sitting" -0.97415159
1 "Sitting" -0.98508573
1 "Sitting" -0.98738253
1 "Sitting" -0.99054878
1 "Sitting" -0.97816877
1 "Sitting" -0.99013908
1 "Sitting" -0.99635984
1 "Sitting" -0.99304157
1 "Sitting" -0.99618419
1 "Sitting" -0.99568647
1 "Sitting" -0.99967384
1 "Sitting" -0.98996717
1 "Sitting" -0.99238571
1 "Sitting" -0.91219576
1 "Sitting" -0.99857637
1 "Sitting" -0.97343478
1 "Sitting" -0.98831649
