"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.58868376
1 "Lying" -0.079365228
1 "Lying" -0.18992228
1 "Lying" -0.073981143
1 "Lying" -0.88736885
1 "Lying" -0.89469684
1 "Lying" -0.84216347
1 "Lying" -0.91615217
1 "Lying" -0.63922936
1 "Lying" -0.8339179
1 "Lying" -0.91039289
1 "Lying" -0.85710487
1 "Lying" -0.57722251
1 "Lying" -0.61077979
1 "Lying" 0.10846309
1 "Lying" -0.7836726
1 "Lying" -0.7632935
1 "Lying" -0.68614585
1 "Lying" -0.5714688
1 "Lying" -0.78454226
1 "Lying" -0.81848931
1 "Lying" -0.34546462
1 "Lying" 0.091462272
1 "Lying" 0.046082468
1 "Lying" 0.4855717
1 "Lying" -0.55871902
1 "Lying" -0.43384751
1 "Lying" -0.42630981
1 "Lying" 0.12966864
1 "Lying" 0.0035208852
1 "Lying" -0.028185297
1 "Lying" -0.95445524
1 "Lying" -0.82022344
1 "Lying" -0.58022294
1 "Lying" -0.87280302
1 "Lying" -0.9160047
1 "Lying" -0.89868354
1 "Lying" -0.91844215
1 "Lying" -0.69303229
1 "Lying" -0.64229636
1 "Lying" -0.85271789
1 "Lying" -0.66919385
1 "Lying" -0.11122967
1 "Lying" -0.37444346
1 "Lying" -0.44402636
1 "Lying" -0.63618077
1 "Lying" 0.39614893
1 "Lying" 0.55047393
1 "Lying" 0.72714422
1 "Lying" -0.48459679
1 "Sitting" 0.13409154
1 "Sitting" -0.79701355
1 "Sitting" -0.24469109
1 "Sitting" -0.87361791
1 "Sitting" -0.72262793
1 "Sitting" -0.32315869
1 "Sitting" -0.7549201
1 "Sitting" -0.55024249
1 "Sitting" -0.69363782
1 "Sitting" -0.76129774
1 "Sitting" -0.78539301
1 "Sitting" -0.57607278
1 "Sitting" -0.48919944
1 "Sitting" -0.85230583
1 "Sitting" -0.48617319
1 "Sitting" -0.15728792
1 "Sitting" 0.50542962
1 "Sitting" 0.17727387
1 "Sitting" -0.50151768
1 "Sitting" -0.45312049
1 "Sitting" -0.53490407
1 "Sitting" -0.90735603
1 "Sitting" -0.9428219
1 "Sitting" -0.84814146
1 "Sitting" -0.73925244
1 "Sitting" -0.74541733
1 "Sitting" -0.88169235
1 "Sitting" -0.38726838
1 "Sitting" -0.6657388
1 "Sitting" -0.86744858
1 "Sitting" -0.1388241
1 "Sitting" -0.19521372
1 "Sitting" -0.65998102
1 "Sitting" -0.14451378
1 "Sitting" -0.42239264
1 "Sitting" -0.79130589
1 "Sitting" -0.66256583
1 "Sitting" -0.61692005
1 "Sitting" -0.43555158
1 "Sitting" -0.35937469
1 "Sitting" -0.45077444
1 "Sitting" -0.4247992
1 "Sitting" -0.20720772
1 "Sitting" -0.42366214
1 "Sitting" -0.34062466
1 "Sitting" -0.56574639
1 "Sitting" -0.83704901
1 "Sitting" -0.3862983
1 "Sitting" -0.12782661
1 "Sitting" -0.45161442
1 "Sitting" -0.57553056
1 "Sitting" -0.57464956
1 "Sitting" -0.49976932
1 "Standing" -0.6916273
1 "Standing" -0.27056161
1 "Standing" -0.32801773
1 "Standing" -0.43378408
1 "Standing" -0.36540077
1 "Standing" -0.6803329
1 "Standing" -0.88026052
1 "Standing" -0.17169604
1 "Standing" -0.015678362
1 "Standing" -0.85230602
1 "Standing" -0.2717908
1 "Standing" 0.18207381
1 "Standing" 0.087836468
1 "Standing" 0.067377941
1 "Standing" -0.18237819
1 "Standing" -0.48044378
1 "Standing" -0.8570542
1 "Standing" -0.46656905
1 "Standing" -0.71325738
1 "Standing" -0.84122188
1 "Standing" -0.70488158
1 "Standing" -0.86751683
1 "Standing" -0.68793374
1 "Standing" -0.85301834
1 "Standing" -0.8076147
1 "Standing" -0.11705365
1 "Standing" -0.073876267
1 "Standing" -0.31163253
1 "Standing" -0.83534493
1 "Standing" -0.92375837
1 "Standing" -0.95283282
1 "Standing" -0.9528621
1 "Standing" -0.90613562
1 "Standing" -0.91655055
1 "Standing" -0.90236199
1 "Standing" -0.75116786
1 "Standing" 0.08468878
1 "Standing" 0.12953517
1 "Standing" 0.032384392
1 "Standing" 0.09323456
1 "Standing" -0.91331941
1 "Standing" -0.68131218
1 "Standing" -0.17776602
1 "Standing" -0.95216203
1 "Standing" -0.88328364
1 "Standing" -0.84420249
1 "Standing" -0.84913827
1 "Walking" -0.65006419
1 "Walking" -0.68937778
1 "Walking" -0.67833492
1 "Walking" -0.85615858
1 "Walking" -0.61572606
1 "Walking" -0.45693703
1 "Walking" -0.69324222
1 "Walking" -0.6727298
1 "Walking" -0.68430793
1 "Walking" -0.64970106
1 "Walking" -0.69864536
1 "Walking" -0.38705628
1 "Walking" -0.13997564
1 "Walking" -0.3990935
1 "Walking" -0.6056319
1 "Walking" -0.78597997
1 "Walking" -0.60270522
1 "Walking" -0.70365866
1 "Walking" -0.49730229
1 "Walking" -0.60608413
1 "Walking" -0.71004562
1 "Walking" -0.29840667
1 "Walking" -0.23611922
1 "Walking" -0.39563048
1 "Walking" -0.38505359
1 "Walking" -0.83041458
1 "Walking" -0.73460595
1 "Walking" -0.55464969
1 "Walking" -0.77189975
1 "Walking" -0.22455084
1 "Walking" -0.43021364
1 "Walking" -0.58342995
1 "Walking" -0.67242563
1 "Walking" -0.69840258
1 "Walking" -0.57748951
1 "Walking" -0.60753163
1 "Walking" -0.56307368
1 "Walking" -0.82871573
1 "Walking" -0.73920547
1 "Walking" -0.75691249
1 "Walking" -0.68198327
1 "Walking" -0.64010793
1 "Walking" -0.66380246
1 "Walking" -0.76329478
1 "Walking" -0.86608788
1 "Walking" -0.69265903
1 "Walking" -0.5173514
1 "Walking" -0.63936305
1 "Walking" -0.79295683
1 "Walking" -0.66048928
1 "Walking" -0.72986588
1 "Walking" -0.6395643
1 "Walking" -0.68086845
1 "Walking" -0.76265233
1 "Walking" -0.78423936
1 "Walking" -0.71228223
1 "Walking" -0.68182264
1 "Walking" -0.60772897
1 "Walking" -0.5810613
1 "Walking" -0.60093027
1 "Walking" -0.47013222
1 "Walking" -0.50246582
1 "Walking" -0.54016792
1 "Walking" -0.56747125
1 "Walking" -0.60905113
1 "Walking" -0.52813864
1 "Walking" -0.53483175
1 "Walking" -0.59259059
1 "Walking" -0.39911783
1 "Walking" -0.59859615
1 "Walking" -0.66412859
1 "Walking" -0.4891791
1 "Walking" -0.51935863
1 "Walking" -0.64201851
1 "Walking" -0.5692493
1 "Walking" -0.71277799
1 "Walking" -0.73697646
1 "Walking" -0.75920491
1 "Walking" -0.74363543
1 "Walking" -0.71416922
1 "Walking" -0.81555451
1 "Walking" -0.85330293
1 "Walking" -0.64688703
1 "Walking" -0.67067025
1 "Walking" -0.73604896
1 "Walking" -0.75791268
1 "Walking" -0.66727655
1 "Walking" -0.52537785
1 "Walking" -0.59717311
1 "Walking" -0.6242011
1 "Walking" -0.55425617
1 "Walking" -0.60588604
1 "Walking" -0.62307873
1 "Walking" -0.84399057
1 "Walking" -0.66984958
1 "Walking Down Stairs" -0.91018523
1 "Walking Down Stairs" -0.87001251
1 "Walking Down Stairs" 0.058648837
1 "Walking Down Stairs" 0.13860774
1 "Walking Down Stairs" -0.41542247
1 "Walking Down Stairs" 0.21827158
1 "Walking Down Stairs" 0.23753438
1 "Walking Down Stairs" -0.91407009
1 "Walking Down Stairs" -0.92927945
1 "Walking Down Stairs" -0.85523145
1 "Walking Down Stairs" -0.84251435
1 "Walking Down Stairs" -0.2622942
1 "Walking Down Stairs" 0.38384539
1 "Walking Down Stairs" -0.12852374
1 "Walking Down Stairs" 0.03211036
1 "Walking Down Stairs" -0.53275884
1 "Walking Down Stairs" -0.81914488
1 "Walking Down Stairs" -0.90508588
1 "Walking Down Stairs" -0.91328361
1 "Walking Down Stairs" -0.24502027
1 "Walking Down Stairs" -0.20081329
1 "Walking Down Stairs" -0.1324182
1 "Walking Down Stairs" -0.17336374
1 "Walking Down Stairs" -0.80591466
1 "Walking Down Stairs" -0.83266925
