"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.33410578
1 "Lying" 0.28060771
1 "Lying" 0.36911766
1 "Lying" 0.14247214
1 "Lying" -0.047606208
1 "Lying" -0.54333046
1 "Lying" 0.5119784
1 "Lying" 0.18685611
1 "Lying" 0.36821183
1 "Lying" 0.10154683
1 "Lying" -0.10317568
1 "Lying" 0.2282568
1 "Lying" 0.32866157
1 "Lying" -0.25556986
1 "Lying" 0.19056828
1 "Lying" -0.032808416
1 "Lying" -0.21260381
1 "Lying" -0.38092939
1 "Lying" -0.20295774
1 "Lying" -0.43521434
1 "Lying" -0.55576329
1 "Lying" -0.34404034
1 "Lying" 0.12681282
1 "Lying" 0.084152847
1 "Lying" 0.21452276
1 "Lying" -0.19359984
1 "Lying" -0.39704043
1 "Lying" 0.49934027
1 "Lying" 0.26188943
1 "Lying" 0.19364378
1 "Lying" 0.61944008
1 "Lying" 0.068786016
1 "Lying" -0.73014942
1 "Lying" 0.31779247
1 "Lying" -0.47106926
1 "Lying" -0.32168281
1 "Lying" -0.19585551
1 "Lying" -0.057351376
1 "Lying" -0.29767097
1 "Lying" -0.098621466
1 "Lying" -0.43513448
1 "Lying" -0.30907155
1 "Lying" -0.11671345
1 "Lying" -0.28742112
1 "Lying" -0.45288827
1 "Lying" -0.34709674
1 "Lying" -0.47556486
1 "Lying" 0.076694183
1 "Lying" 0.32972984
1 "Lying" -0.49722238
1 "Sitting" -0.4843465
1 "Sitting" -0.15690927
1 "Sitting" -0.39199128
1 "Sitting" -0.3793527
1 "Sitting" -0.2679956
1 "Sitting" -0.23504028
1 "Sitting" -0.36925274
1 "Sitting" -0.060674182
1 "Sitting" -0.51432545
1 "Sitting" -0.62392626
1 "Sitting" -0.58369398
1 "Sitting" -0.55322055
1 "Sitting" -0.18321151
1 "Sitting" -0.56472646
1 "Sitting" 0.019183672
1 "Sitting" 0.44886012
1 "Sitting" -0.1426691
1 "Sitting" -0.21950018
1 "Sitting" -0.64411048
1 "Sitting" 0.16423599
1 "Sitting" -0.84221658
