"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.13531286
1 "Lying" 0.28103642
1 "Lying" -0.031135897
1 "Lying" 0.19499584
1 "Lying" 0.094176598
1 "Lying" -0.38729701
1 "Lying" -0.2619089
1 "Lying" 0.0043893872
1 "Lying" -0.27226019
1 "Lying" -0.39519322
1 "Lying" -0.12098446
1 "Lying" 0.25473728
1 "Lying" 0.13842604
1 "Lying" 0.76528579
1 "Lying" 0.92013257
1 "Lying" 0.70255585
1 "Lying" 0.70661628
1 "Lying" 0.88475333
1 "Lying" 0.65527534
1 "Lying" 0.72911272
1 "Lying" 0.777454
1 "Lying" 0.97244422
1 "Lying" 0.95124593
1 "Lying" 0.94753768
1 "Lying" 0.94102703
1 "Lying" 0.62928047
1 "Lying" 0.30347558
1 "Lying" 0.43405118
1 "Lying" 0.54483726
1 "Lying" 0.50124819
1 "Lying" -0.21263927
1 "Lying" -0.13089017
1 "Lying" -0.081699434
1 "Lying" -0.039138008
1 "Lying" -0.20807112
1 "Lying" -0.18206403
1 "Lying" -0.044796269
1 "Lying" -0.013682456
1 "Lying" 0.047518546
1 "Lying" 0.49221736
1 "Lying" 0.48898291
1 "Lying" 0.63273092
1 "Lying" 0.82829263
1 "Lying" 0.84951716
1 "Lying" 0.51993661
1 "Lying" 0.10167988
1 "Lying" 0.0071898512
1 "Lying" 0.84452554
1 "Lying" 0.83528539
1 "Lying" 0.78025987
1 "Sitting" 0.72086167
1 "Sitting" 0.12534464
1 "Sitting" 0.27050025
1 "Sitting" 0.22830973
1 "Sitting" 0.089942719
1 "Sitting" 0.12718522
1 "Sitting" 0.37392632
1 "Sitting" 0.42100668
1 "Sitting" 0.26304838
1 "Sitting" 0.31604952
1 "Sitting" 0.23891514
1 "Sitting" 0.4414063
1 "Sitting" 0.34690751
1 "Sitting" 0.25529774
1 "Sitting" 0.96424812
1 "Sitting" 0.96725218
1 "Sitting" 0.77838014
1 "Sitting" 0.42811315
1 "Sitting" 0.29686518
1 "Sitting" 0.18790487
1 "Sitting" -0.021620615
1 "Sitting" -0.20379003
1 "Sitting" -0.33184967
1 "Sitting" -0.27826002
1 "Sitting" -0.096987506
1 "Sitting" -0.013900581
1 "Sitting" 0.2028964
1 "Sitting" 0.91928936
1 "Sitting" 0.79836801
1 "Sitting" 0.58080906
1 "Sitting" 0.32309008
1 "Sitting" 0.4993531
1 "Sitting" 0.56289091
1 "Sitting" 0.51056896
1 "Sitting" 0.30913469
1 "Sitting" -0.14543019
1 "Sitting" -0.14200523
1 "Sitting" -0.09979695
1 "Sitting" 0.37611974
1 "Sitting" 0.65306891
1 "Sitting" 0.54716571
1 "Sitting" 0.95804384
1 "Sitting" 0.94903544
1 "Sitting" 0.47319371
1 "Sitting" 0.52596814
1 "Sitting" 0.42712559
1 "Sitting" 0.60076284
1 "Sitting" 0.52424877
1 "Sitting" 0.4608825
1 "Sitting" 0.20159371
1 "Sitting" 0.29368808
1 "Sitting" 0.15749929
1 "Sitting" 0.22421384
1 "Standing" 0.98434769
1 "Standing" 0.9845391
1 "Standing" 0.92246591
1 "Standing" 0.55352782
1 "Standing" 0.68547121
1 "Standing" 0.88443226
1 "Standing" 0.9562928
1 "Standing" 0.91719229
1 "Standing" 0.76592438
1 "Standing" 0.046310231
1 "Standing" -0.098345762
1 "Standing" 0.97226679
1 "Standing" 0.93399356
1 "Standing" 0.89524956
1 "Standing" -0.22071798
1 "Standing" -0.016772114
1 "Standing" 0.16059432
1 "Standing" 0.28684452
1 "Standing" 0.39628192
1 "Standing" 0.21981483
1 "Standing" 0.083256247
1 "Standing" 0.0037793292
1 "Standing" 0.10782532
1 "Standing" -0.092335612
1 "Standing" 1
1 "Standing" 0.95872192
1 "Standing" 0.8950614
1 "Standing" 0.06113558
1 "Standing" 0.049882122
1 "Standing" -0.11912287
1 "Standing" -0.32134581
1 "Standing" -0.23764361
1 "Standing" 0.082295785
1 "Standing" 0.032731366
1 "Standing" -0.059483482
1 "Standing" 0.89940293
1 "Standing" 0.92411352
1 "Standing" 0.66328318
1 "Standing" 0.47351155
1 "Standing" 0.22756655
1 "Standing" 0.2514988
1 "Standing" 0.21642287
1 "Standing" 0.41271486
1 "Standing" 0.12281702
1 "Standing" 0.36094398
1 "Standing" 0.70082512
1 "Standing" 0.53075001
1 "Walking" 0.12924562
1 "Walking" 0.1135356
1 "Walking" 0.14440002
1 "Walking" 0.15313789
1 "Walking" 0.028930751
1 "Walking" 0.13125696
1 "Walking" 0.12292047
1 "Walking" 0.018359118
1 "Walking" 0.24871294
1 "Walking" 0.020473143
1 "Walking" -0.010890732
1 "Walking" -0.13097868
1 "Walking" 0.031283414
1 "Walking" 0.011601381
1 "Walking" 0.029603085
1 "Walking" 0.051523262
1 "Walking" 0.070779344
1 "Walking" 0.10061525
1 "Walking" 0.15926596
1 "Walking" 0.020551892
1 "Walking" -0.026423634
1 "Walking" 0.042628683
1 "Walking" 0.046105738
1 "Walking" -0.25468845
1 "Walking" -0.41661272
1 "Walking" -0.08130552
1 "Walking" -0.023129792
1 "Walking" 0.069924373
1 "Walking" -0.1491791
1 "Walking" 0.035516382
1 "Walking" 0.10136434
1 "Walking" 0.065772307
1 "Walking" 0.053256821
1 "Walking" 0.038701805
1 "Walking" 0.087414329
1 "Walking" -0.043192637
1 "Walking" 0.18431477
1 "Walking" 0.092896102
1 "Walking" -0.042780514
1 "Walking" 0.0014726349
1 "Walking" 0.05157874
1 "Walking" 0.071039062
1 "Walking" 0.067381677
1 "Walking" 0.002303114
1 "Walking" -0.0026430771
1 "Walking" 0.077219865
1 "Walking" 0.10988885
1 "Walking" 0.19796218
1 "Walking" 0.13921934
1 "Walking" 0.06530504
1 "Walking" 0.13082259
1 "Walking" 0.12060049
1 "Walking" -0.066837071
1 "Walking" -0.13155223
1 "Walking" -0.11072731
1 "Walking" 0.14940724
1 "Walking" -0.067791174
1 "Walking" -0.16871948
1 "Walking" -0.061224744
1 "Walking" -0.19618173
1 "Walking" -0.12037493
1 "Walking" -0.02402246
1 "Walking" 0.031926212
1 "Walking" 0.15475702
1 "Walking" 0.021661811
1 "Walking" -0.1928691
1 "Walking" -0.13194715
1 "Walking" -0.14419549
1 "Walking" 0.11816201
1 "Walking" 0.15577018
1 "Walking" 0.13918637
1 "Walking" -0.047973066
1 "Walking" 0.04441732
1 "Walking" 0.14005726
1 "Walking" 0.10373748
1 "Walking" 0.15237887
1 "Walking" 0.11900856
1 "Walking" 0.094369775
1 "Walking" 0.041671956
1 "Walking" -0.13684654
1 "Walking" 0.11841029
1 "Walking" 0.16423006
1 "Walking" 0.088491856
1 "Walking" -0.036409145
1 "Walking" 0.0050605336
1 "Walking" -0.10456914
1 "Walking" -0.12196221
1 "Walking" -0.035872054
1 "Walking" -0.080293378
1 "Walking" -0.019848098
1 "Walking" 0.10524882
1 "Walking" 0.023485454
1 "Walking" -0.041824606
1 "Walking" 0.02285656
1 "Walking" -0.067064942
1 "Walking Down Stairs" 0.25214446
1 "Walking Down Stairs" 0.24771716
1 "Walking Down Stairs" 0.18505136
1 "Walking Down Stairs" 0.21590238
1 "Walking Down Stairs" 0.18558793
1 "Walking Down Stairs" 0.13170046
1 "Walking Down Stairs" 0.10929322
1 "Walking Down Stairs" -0.05063504
1 "Walking Down Stairs" -0.087986796
1 "Walking Down Stairs" 0.29372775
1 "Walking Down Stairs" 0.14946797
1 "Walking Down Stairs" 0.21639384
1 "Walking Down Stairs" 0.22357646
1 "Walking Down Stairs" 0.4065246
1 "Walking Down Stairs" 0.25867321
1 "Walking Down Stairs" 0.17456519
1 "Walking Down Stairs" 0.35867512
1 "Walking Down Stairs" 0.15972211
1 "Walking Down Stairs" 0.10709518
1 "Walking Down Stairs" 0.26420364
1 "Walking Down Stairs" 0.17062155
1 "Walking Down Stairs" 0.34182593
1 "Walking Down Stairs" 0.41092681
1 "Walking Down Stairs" 0.36996323
1 "Walking Down Stairs" 0.030087636
1 "Walking Down Stairs" 0.46530789
1 "Walking Down Stairs" 0.23389709
1 "Walking Down Stairs" 0.2987242
1 "Walking Down Stairs" 0.15781778
1 "Walking Down Stairs" 0.18745226
1 "Walking Down Stairs" 0.35360258
1 "Walking Down Stairs" 0.25473148
1 "Walking Down Stairs" 0.40819065
1 "Walking Down Stairs" 0.28311957
1 "Walking Down Stairs" 0.1392982
1 "Walking Down Stairs" 0.20853398
1 "Walking Down Stairs" 0.32413655
1 "Walking Down Stairs" 0.1327645
1 "Walking Down Stairs" 0.11018018
1 "Walking Down Stairs" 0.3261112
1 "Walking Down Stairs" 0.16208774
1 "Walking Down Stairs" 0.45651417
1 "Walking Down Stairs" 0.34634995
1 "Walking Down Stairs" 0.3274255
1 "Walking Down Stairs" 0.17553901
1 "Walking Down Stairs" 0.095518259
1 "Walking Down Stairs" 0.043908287
1 "Walking Down Stairs" 0.35048045
1 "Walking Down Stairs" 0.33927423
1 "Walking Up Stairs" 0.6950239
1 "Walking Up Stairs" 0.69523735
1 "Walking Up Stairs" 0.53905964
1 "Walking Up Stairs" 0.49721855
1 "Walking Up Stairs" 0.41933258
1 "Walking Up Stairs" 0.54589238
1 "Walking Up Stairs" 0.55425481
1 "Walking Up Stairs" 0.50443903
1 "Walking Up Stairs" 0.68675518
1 "Walking Up Stairs" 0.68440509
1 "Walking Up Stairs" 0.51310761
