"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.87122077
1 "Lying" -0.98641994
1 "Lying" -0.99525244
1 "Lying" -0.99601814
1 "Lying" -0.99630612
1 "Lying" -0.99449106
1 "Lying" -0.99591501
1 "Lying" -0.99600836
1 "Lying" -0.99340605
1 "Lying" -0.99420648
1 "Lying" -0.99656948
1 "Lying" -0.99736677
1 "Lying" -0.99576141
1 "Lying" -0.74231718
1 "Lying" -0.91019487
1 "Lying" 0.12828636
1 "Lying" -0.13567442
1 "Lying" -0.82980516
1 "Lying" -0.84057402
1 "Lying" -0.084678289
1 "Lying" -0.33463273
1 "Lying" 0.12301778
1 "Lying" -0.90267392
1 "Lying" -0.89622326
1 "Lying" -0.99189064
1 "Lying" -0.99143035
1 "Lying" -0.992256
1 "Lying" -0.93602638
1 "Lying" -0.94988566
1 "Lying" -0.99408543
1 "Lying" -0.99479188
1 "Lying" -0.99565951
1 "Lying" -0.99693056
1 "Lying" -0.99731032
1 "Lying" -0.99500272
1 "Lying" -0.99556387
1 "Lying" -0.99785609
1 "Lying" -0.99604851
1 "Lying" -0.99541954
1 "Lying" -0.198661
1 "Lying" 0.10433271
1 "Lying" -0.94156348
1 "Lying" -0.84024103
1 "Lying" -0.81108203
1 "Lying" -0.98389598
1 "Lying" -0.99109673
1 "Lying" -0.98955032
1 "Lying" -0.88221422
1 "Lying" -0.72652781
1 "Lying" -0.85091999
1 "Sitting" -0.9576374
1 "Sitting" -0.98124826
1 "Sitting" -0.9857669
1 "Sitting" -0.9835088
1 "Sitting" -0.98960814
1 "Sitting" -0.99346324
1 "Sitting" -0.99123713
1 "Sitting" -0.97476126
1 "Sitting" -0.98001684
1 "Sitting" -0.99133543
1 "Sitting" -0.98958642
1 "Sitting" -0.99407242
1 "Sitting" -0.99413589
1 "Sitting" -0.99629721
1 "Sitting" -0.79512503
1 "Sitting" -0.98792482
1 "Sitting" -0.99046331
1 "Sitting" -0.99364019
1 "Sitting" -0.99782077
1 "Sitting" -0.99724024
1 "Sitting" -0.99554592
1 "Sitting" -0.99507095
1 "Sitting" -0.99404911
1 "Sitting" -0.99324706
1 "Sitting" -0.99462698
1 "Sitting" -0.99489936
1 "Sitting" -0.99597318
1 "Sitting" -0.94448576
1 "Sitting" -0.97734139
1 "Sitting" -0.98238426
1 "Sitting" -0.97628633
1 "Sitting" -0.97555885
1 "Sitting" -0.97521061
1 "Sitting" -0.98533043
1 "Sitting" -0.99327831
1 "Sitting" -0.99395628
1 "Sitting" -0.98985726
1 "Sitting" -0.99047228
1 "Sitting" -0.9936022
1 "Sitting" -0.99267772
1 "Sitting" -0.99106523
1 "Sitting" -0.79315309
1 "Sitting" -0.98053989
1 "Sitting" -0.9839225
1 "Sitting" -0.99427462
1 "Sitting" -0.99153726
1 "Sitting" -0.99185937
1 "Sitting" -0.99422122
1 "Sitting" -0.99642182
1 "Sitting" -0.9977695
1 "Sitting" -0.996017
1 "Sitting" -0.99616063
1 "Sitting" -0.99500036
1 "Standing" -0.26658477
1 "Standing" -0.91046872
1 "Standing" -0.98868228
1 "Standing" -0.70688322
1 "Standing" -0.54944598
1 "Standing" -0.45441637
1 "Standing" -0.93457224
1 "Standing" -0.9712171
1 "Standing" -0.99429674
1 "Standing" -0.99714322
1 "Standing" -0.99665824
1 "Standing" -0.96212264
1 "Standing" -0.95465736
1 "Standing" -0.99551693
1 "Standing" -0.99541072
1 "Standing" -0.99038875
1 "Standing" -0.99411719
1 "Standing" -0.99502728
1 "Standing" -0.99715909
1 "Standing" -0.99732715
1 "Standing" -0.99533715
1 "Standing" -0.99179797
1 "Standing" -0.99256639
1 "Standing" -0.99385354
1 "Standing" -0.90478323
1 "Standing" -0.93848322
1 "Standing" -0.99019648
1 "Standing" -0.99368057
1 "Standing" -0.99727024
1 "Standing" -0.99640122
1 "Standing" -0.99789945
1 "Standing" -0.99856095
1 "Standing" -0.9963295
1 "Standing" -0.99728396
1 "Standing" -0.99778095
1 "Standing" -0.74795825
1 "Standing" -0.97026115
1 "Standing" -0.98940016
1 "Standing" -0.99148804
1 "Standing" -0.99346569
1 "Standing" -0.99384343
1 "Standing" -0.99306051
1 "Standing" -0.99497754
1 "Standing" -0.99465224
1 "Standing" -0.99497929
1 "Standing" -0.9936769
1 "Standing" -0.99132352
1 "Walking" -0.30212121
1 "Walking" -0.25306176
1 "Walking" -0.38995894
1 "Walking" -0.38127494
1 "Walking" -0.39003755
1 "Walking" -0.40764808
1 "Walking" -0.4536278
1 "Walking" -0.39806079
1 "Walking" -0.43840012
1 "Walking" -0.38935066
1 "Walking" -0.46726061
1 "Walking" -0.46297058
1 "Walking" -0.37800569
1 "Walking" -0.30633808
1 "Walking" -0.24437273
1 "Walking" -0.28440942
1 "Walking" -0.37913677
1 "Walking" -0.38301423
1 "Walking" -0.36187624
1 "Walking" -0.38718964
1 "Walking" -0.2809758
1 "Walking" -0.32123201
1 "Walking" -0.39214696
1 "Walking" -0.37722858
1 "Walking" -0.41836919
1 "Walking" -0.31588417
1 "Walking" -0.30256306
1 "Walking" -0.37276888
