"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98892557
1 "Lying" -0.98897778
1 "Lying" -0.99756896
1 "Lying" -0.99846505
1 "Lying" -0.99862466
1 "Lying" -0.99920964
1 "Lying" -0.99941854
1 "Lying" -0.9963227
1 "Lying" -0.99797044
1 "Lying" -0.997281
1 "Lying" -0.99731442
1 "Lying" -0.99778162
1 "Lying" -0.99791058
1 "Lying" -0.77139191
1 "Lying" -0.91499999
1 "Lying" -0.96354752
1 "Lying" -0.6855982
1 "Lying" -0.83510249
1 "Lying" -0.78429151
1 "Lying" -0.72466654
1 "Lying" 0.069459782
1 "Lying" 0.13696674
1 "Lying" -0.69035884
1 "Lying" -0.87756222
1 "Lying" -0.97831578
1 "Lying" -0.97934351
1 "Lying" -0.98764316
1 "Lying" -0.96595653
1 "Lying" -0.9730388
1 "Lying" -0.99661824
1 "Lying" -0.99904576
1 "Lying" -0.99834928
1 "Lying" -0.99843879
1 "Lying" -0.99912188
1 "Lying" -0.99747003
1 "Lying" -0.9980332
1 "Lying" -0.99955353
1 "Lying" -0.99875668
1 "Lying" -0.99813778
1 "Lying" -0.81839962
1 "Lying" -0.92489589
1 "Lying" -0.97831955
1 "Lying" -0.98231234
1 "Lying" -0.95404654
1 "Lying" -0.98794715
1 "Lying" -0.98991921
1 "Lying" -0.99033289
1 "Lying" -0.99532962
1 "Lying" -0.94615299
1 "Lying" -0.95365793
1 "Sitting" -0.98170843
1 "Sitting" -0.98944741
1 "Sitting" -0.99286582
1 "Sitting" -0.98139281
1 "Sitting" -0.98809824
1 "Sitting" -0.98675389
1 "Sitting" -0.98857468
1 "Sitting" -0.97295996
1 "Sitting" -0.9756451
1 "Sitting" -0.99050162
1 "Sitting" -0.98648794
1 "Sitting" -0.99482045
1 "Sitting" -0.98730738
1 "Sitting" -0.99425118
1 "Sitting" -0.81461226
1 "Sitting" -0.97591253
1 "Sitting" -0.99197906
1 "Sitting" -0.99238313
1 "Sitting" -0.99697129
1 "Sitting" -0.99585747
1 "Sitting" -0.99464403
1 "Sitting" -0.99499448
1 "Sitting" -0.99198868
1 "Sitting" -0.99227999
1 "Sitting" -0.99145541
1 "Sitting" -0.98848774
1 "Sitting" -0.99730066
1 "Sitting" -0.93673484
1 "Sitting" -0.98336624
1 "Sitting" -0.98311061
1 "Sitting" -0.98078642
1 "Sitting" -0.9808254
1 "Sitting" -0.96124447
1 "Sitting" -0.98558282
1 "Sitting" -0.99430325
1 "Sitting" -0.99590534
1 "Sitting" -0.99907682
1 "Sitting" -0.9977726
1 "Sitting" -0.99418465
1 "Sitting" -0.99447777
1 "Sitting" -0.98743477
1 "Sitting" -0.80758573
1 "Sitting" -0.96679183
1 "Sitting" -0.98016007
1 "Sitting" -0.99457247
1 "Sitting" -0.99113831
